model,oos_r2,rmse,mae,ic,ic_ir,accuracy,precision,recall,f1,long_only_accuracy,n_long_predictions,sharpe_ratio,max_drawdown,total_return,win_rate,win_loss_ratio,n_trades,final_equity,n_periods,window,train_start,train_end,test_start,test_end,n_train,n_test,feature_set
window_0,-0.2177696994963665,0.03291499910444302,0.02419203707310551,0.0995822770603295,0.9839109083608255,0.5168146354587032,0.5154329418191751,0.9884756416972237,0.6775583482944345,0.5154329418191751,3661,-0.5559703541216744,-0.2316667869296293,-5.6737398823384915,0.5555555555555556,0.7336321110203935,113,9432.626011766151,63,0,2016-01-04,2018-01-02,2018-01-03,2018-04-04,29736,3717,A
window_1,-0.6131857908465883,0.030407624474133643,0.023977338961575553,0.10322533237443858,0.7772584791678113,0.4839924670433145,0.6929824561403509,0.11560975609756098,0.19816053511705686,0.6929824561403509,342,1.9884469477347153,-0.12442726989976388,13.204257125379716,0.5161290322580645,1.5257053224013184,208,11320.425712537972,63,1,2016-01-04,2018-04-04,2018-04-05,2018-07-03,33453,3717,A
window_2,-0.034344238268312344,0.024655479852242444,0.01662045953345074,0.02270560483481157,0.4893065173666041,0.5550174872208771,0.5805277525022748,0.8759725400457666,0.6982852973367384,0.5805277525022748,3297,3.3669218586421925,-0.07643561825736671,15.188907251038852,0.6190476190476191,1.10488214652351,229,11518.890725103885,63,2,2016-01-04,2018-07-03,2018-07-05,2018-10-02,37170,3717,A
window_3,-0.10561337851625852,0.04365082430030812,0.03143477760141947,0.08489712585351873,0.9599624597776524,0.4638149044928706,0.4731246308328411,0.8845941468801767,0.6165095247258033,0.4731246308328411,3386,-1.8874447963684795,-0.35273500157168824,-22.083653131442603,0.4603174603174603,0.8819367117552226,301,7791.634686855739,63,3,2016-01-04,2018-10-02,2018-10-03,2019-01-03,40887,3717,A
window_4,-0.6429783818301911,0.03226518477191839,0.02494364781520154,0.049766249995233935,0.16480158639734943,0.39763249932741457,0.7269938650306749,0.09928780896522832,0.17471433837080722,0.7269938650306749,326,3.564107798050589,-0.011470690040046597,14.558439220009301,0.5294117647058824,6.420050100967052,386,11455.84392200093,63,4,2016-01-04,2019-01-03,2019-01-04,2019-04-04,44604,3717,A
window_5,-0.10672447482484593,0.026404283729186878,0.019525620174410535,-0.051463574820908256,-0.2831011584367141,0.4589722894807641,0.5097063215530114,0.4995121951219512,0.5045577728504558,0.5097063215530114,2009,0.9146716320033019,-0.1291736314789631,4.709901854058596,0.46511627906976744,1.4733893321101705,441,10470.990185405859,63,5,2016-01-04,2019-04-04,2019-04-05,2019-07-05,48321,3717,A
window_6,-0.00947832023809747,0.027209428169885204,0.01969749825101996,0.052605880671679525,0.5234466058881136,0.4882970137207425,0.498371335504886,0.8086680761099366,0.6166868198307134,0.498371335504886,3070,-0.9297683546806864,-0.19079738886957295,-8.74391861113809,0.5079365079365079,0.8147549931382728,667,9125.608138886191,63,6,2016-01-04,2019-07-05,2019-07-08,2019-10-03,52038,3717,A
window_7,-0.07294256781939246,0.023029459929007918,0.01588039989614428,0.09945993458696638,0.7083044265129868,0.5571697605595911,0.6330739299610895,0.6982832618025752,0.6640816326530612,0.6330739299610895,2570,2.5782670553142495,-0.20382997484994417,18.395387449963874,0.7142857142857143,0.6786907221429423,792,11839.538744996387,63,7,2016-01-04,2019-10-03,2019-10-04,2020-01-03,55755,3717,A
window_8,-0.04858364148467609,0.07485389861971033,0.04879575601825432,-0.003065655023025459,0.14076941934556214,0.47538337368845845,0.47805734347571677,0.9077777777777778,0.6262935990801073,0.47805734347571677,3418,0.23213440542748284,-0.6841873036816992,-7.9961303372844466,0.5396825396825397,0.8930614489173023,395,9200.386966271555,63,8,2016-01-04,2020-01-03,2020-01-06,2020-04-03,59472,3717,A
window_9,-0.08499924002285408,0.04692746281189161,0.03413795089113385,0.030262037021736396,0.3794239327963013,0.591337099811676,0.5980186130291204,0.9171270718232044,0.7239687443212793,0.5980186130291204,3331,4.623032821753252,-0.20094859550863123,76.65164269485992,0.6825396825396826,1.0059661371379442,487,17665.16426948599,63,9,2016-01-04,2020-04-03,2020-04-06,2020-07-06,63189,3717,A
