n_periods,mean_return,annualized_return,annualized_vol,sharpe,max_drawdown,total_return,win_rate,strategy,top_n,bottom_n,effective_spread_fraction,short_fee_bps_annual,horizon,rebalance_every,avg_turnover,avg_spread_cost,avg_short_fee_cost,model,feature_set,scheme,cost_scheme,hurdle_bps
1701,-0.0003960919067215,-0.0950132114752437,0.2465627509755544,-0.3853510357883049,-0.7283077450678234,-0.5849341319139729,0.4926513815402704,long_short_decile,6.0,6.0,0.15,50.0,1,1,0.6227709190672153,4.6700470311581425e-05,1.984126984126984e-05,OLS,A,expanding,15pct_spread,
1701,-5.305702527924783e-07,-0.0001336948012395,0.0452279627618045,-0.0029560208569132,-0.1551289352632185,-0.0077250522716979,0.0047031158142269,long_flat_hurdle,,,0.15,,1,1,0.0099941211052322,7.495590828924161e-07,,OLS,A,expanding,15pct_spread,10.0
1701,-0.0004272255535959,-0.1020885681642687,0.2465655583584489,-0.4140422889715022,-0.7374137537479517,-0.6063589334279762,0.492063492063492,long_short_decile,6.0,6.0,0.25,50.0,1,1,0.6227709190672153,7.783411718596903e-05,1.984126984126984e-05,OLS,A,expanding,25pct_spread,
1701,-1.0302763080540885e-06,-0.0002595960624821,0.0452460374654872,-0.0057374319835228,-0.1555557766829501,-0.0085738304307287,0.0047031158142269,long_flat_hurdle,,,0.25,,1,1,0.0099941211052322,1.2492651381540272e-06,,OLS,A,expanding,25pct_spread,10.0
2016,0.0001098217592592,0.0280600336102556,0.2431547058106886,0.1153999200496748,-0.4575159189892374,-0.0149800127173378,0.5099206349206349,long_short_decile,6.0,6.0,0.15,50.0,1,1,0.8728505291005291,6.546378968253969e-05,1.984126984126983e-05,OLS,A,rolling_9m_3m,15pct_spread,
2016,0.0004923983757044,0.1320768330830894,0.1794016885339096,0.7362073019626287,-0.2851530227366156,1.3714715825977009,0.238095238095238,long_flat_hurdle,,,0.15,,1,1,0.16711481489108,1.2533611116830998e-05,,OLS,A,rolling_9m_3m,15pct_spread,10.0
2016,6.617923280423253e-05,0.01681644581234,0.2431661822348273,0.0691561863487264,-0.4760754729391878,-0.0979735790646788,0.5094246031746031,long_short_decile,6.0,6.0,0.25,50.0,1,1,0.8728505291005291,0.0001091063161375,1.984126984126983e-05,OLS,A,rolling_9m_3m,25pct_spread,
2016,0.0004840426349599,0.1296967479664368,0.1793995535684102,0.722949112116824,-0.2855269803120233,1.331876741576108,0.2375992063492063,long_flat_hurdle,,,0.25,,1,1,0.16711481489108,2.0889351861385e-05,,OLS,A,rolling_9m_3m,25pct_spread,10.0
1701,0.000605227611209,0.1647089445274239,0.2337263350792108,0.7047085407453266,-0.358739648525271,1.330417433239616,0.5214579659024103,long_short_decile,6.0,6.0,0.15,50.0,1,1,0.4597295708406819,3.447971781305115e-05,1.984126984126984e-05,ElasticNet,A,expanding,15pct_spread,
1701,0.000737600577552,0.2041896226151369,0.3143873175586915,0.6494842864550913,-0.4859341716481519,1.5101346466521577,0.2151675485008818,long_flat_hurdle,,,0.15,,1,1,0.1500974612420148,1.1257309593151107e-05,,ElasticNet,A,expanding,15pct_spread,10.0
1701,0.000582241132667,0.1579857430898017,0.2337192732895327,0.6759636929646283,-0.3626843677998726,1.2411002947532084,0.5214579659024103,long_short_decile,6.0,6.0,0.25,50.0,1,1,0.4597295708406819,5.746619635508525e-05,1.984126984126984e-05,ElasticNet,A,expanding,25pct_spread,
1701,0.0007300957044899,0.2019160445349885,0.3143801013026164,0.6422672545061239,-0.4866057868950157,1.478318929065238,0.2151675485008818,long_flat_hurdle,,,0.25,,1,1,0.1500974612420148,1.8762182655251853e-05,,ElasticNet,A,expanding,25pct_spread,10.0
2016,0.0006659339451058,0.1826521509552783,0.1892566464479047,0.9651029667037646,-0.1787428647990407,2.316857069485774,0.5367063492063492,long_short_decile,6.0,6.0,0.15,50.0,1,1,0.4298941798941799,3.2242063492063495e-05,1.984126984126983e-05,ElasticNet,A,rolling_9m_3m,15pct_spread,
2016,0.0016302081679894,0.5075381662817209,0.3151254713670365,1.610590740507216,-0.3373542347387482,17.058790802875542,0.1433531746031746,long_flat_hurdle,,,0.15,,1,1,0.0230654761904761,1.7299107142857144e-06,,ElasticNet,A,rolling_9m_3m,15pct_spread,10.0
2016,0.0006444392361111,0.1762676086062138,0.1892652509718512,0.9313257859068356,-0.1793369018538065,2.176212006956289,0.5357142857142857,long_short_decile,6.0,6.0,0.25,50.0,1,1,0.4298941798941799,5.373677248677249e-05,1.984126984126983e-05,ElasticNet,A,rolling_9m_3m,25pct_spread,
2016,0.0016290548941798,0.5071008142806122,0.3151233537662303,1.6092136879731154,-0.3373542347387483,17.01699331448888,0.1433531746031746,long_flat_hurdle,,,0.25,,1,1,0.0230654761904761,2.883184523809524e-06,,ElasticNet,A,rolling_9m_3m,25pct_spread,10.0
1701,0.0003720490887713,0.0982729864321303,0.222448776700644,0.4417780483656209,-0.4067540043679344,0.5927204289572114,0.520870076425632,long_short_decile,6.0,6.0,0.15,50.0,1,1,1.879482657260435,0.000140953850676,1.984126984126984e-05,XGBoost,A,expanding,15pct_spread,
1701,0.0002513849010669,0.0653901114419077,0.1649842192630891,0.3963416121491873,-0.1916966778058517,0.3995015196603557,0.0552616108171663,long_flat_hurdle,,,0.15,,1,1,0.1530105327684593,1.147578995763445e-05,,XGBoost,A,expanding,15pct_spread,10.0
1701,0.0002780798549872,0.0725793787305364,0.2224981846746517,0.3262021163753121,-0.4170086822213301,0.3573640937226221,0.5173427395649618,long_short_decile,6.0,6.0,0.25,50.0,1,1,1.879482657260435,0.0002349230844601,1.984126984126984e-05,XGBoost,A,expanding,25pct_spread,
1701,0.0002437343744285,0.063338597092315,0.164945694900298,0.3839966670885243,-0.1927757886966207,0.3814569961472287,0.0552616108171663,long_flat_hurdle,,,0.25,,1,1,0.1530105327684593,1.9126316596057418e-05,,XGBoost,A,expanding,25pct_spread,10.0
2016,0.0003149962797619,0.0826010909250523,0.2274317494797839,0.3631906763852888,-0.5876604523768094,0.5346176661948185,0.5054563492063492,long_short_decile,6.0,6.0,0.15,50.0,1,1,2.079034391534391,0.0001559213789682,1.984126984126983e-05,XGBoost,A,rolling_9m_3m,15pct_spread,
2016,0.0011282509417017,0.3286441233734727,0.2995588868304136,1.0970935526260144,-0.4017661056501437,5.813399093201417,0.2261904761904762,long_flat_hurdle,,,0.15,,1,1,0.4578878401397704,3.434158801048279e-05,,XGBoost,A,rolling_9m_3m,15pct_spread,10.0
2016,0.000211048693783,0.054618045703048,0.2274628462818599,0.2401185362613825,-0.6109067622440226,0.2444276851832048,0.5009920634920635,long_short_decile,6.0,6.0,0.25,50.0,1,1,2.079034391534391,0.000259868964947,1.984126984126983e-05,XGBoost,A,rolling_9m_3m,25pct_spread,
2016,0.0011053565496948,0.3210092336682077,0.2995648683217691,1.071585047561067,-0.4082794614121542,5.506137327287731,0.2261904761904762,long_flat_hurdle,,,0.25,,1,1,0.4578878401397704,5.723598001747132e-05,,XGBoost,A,rolling_9m_3m,25pct_spread,10.0
1701,-0.0004098010973936,-0.0981355454962364,0.1860334471532981,-0.5275156000058923,-0.5951106046343121,-0.556841943038129,0.4703115814226925,long_short_decile,6.0,6.0,0.15,50.0,1,1,0.7442680776014109,5.582010582010582e-05,1.984126984126984e-05,OLS,B,expanding,15pct_spread,
1701,0.0,0.0,0.0,,0.0,0.0,0.0,long_flat_hurdle,,,0.15,,1,1,0.0,0.0,,OLS,B,expanding,15pct_spread,10.0
1701,-0.0004470145012737,-0.1065570883689285,0.1860380316330864,-0.5727704568444681,-0.6181150298426082,-0.5840417050194653,0.4691358024691358,long_short_decile,6.0,6.0,0.25,50.0,1,1,0.7442680776014109,9.303350970017635e-05,1.984126984126984e-05,OLS,B,expanding,25pct_spread,
1701,0.0,0.0,0.0,,0.0,0.0,0.0,long_flat_hurdle,,,0.25,,1,1,0.0,0.0,,OLS,B,expanding,25pct_spread,10.0
2016,0.0002121464947089,0.0549097800125566,0.1761913210749213,0.3116486083284857,-0.4021719296917155,0.3548895991983321,0.492063492063492,long_short_decile,6.0,6.0,0.15,50.0,1,1,0.726521164021164,5.4489087301587305e-05,1.984126984126983e-05,OLS,B,rolling_9m_3m,15pct_spread,
2016,5.050140542328002e-05,0.0128073533804009,0.0379253740042178,0.3376988023632044,-0.0596898305713452,0.1008372644869883,0.0168650793650793,long_flat_hurdle,,,0.15,,1,1,0.0176917989417989,1.3268849206349203e-06,,OLS,B,rolling_9m_3m,15pct_spread,10.0
2016,0.0001758204365079,0.0452988814082258,0.1761963592039976,0.2570931749831414,-0.4123670389984135,0.2592098928690267,0.4905753968253968,long_short_decile,6.0,6.0,0.25,50.0,1,1,0.726521164021164,9.08151455026455e-05,1.984126984126983e-05,OLS,B,rolling_9m_3m,25pct_spread,
2016,4.9616815476190075e-05,0.0125816182023186,0.037913958795379,0.3318465969280967,-0.0597852716017223,0.0988795868756282,0.0168650793650793,long_flat_hurdle,,,0.25,,1,1,0.0176917989417989,2.211474867724868e-06,,OLS,B,rolling_9m_3m,25pct_spread,10.0
1701,0.0006742225161669,0.1851233040561288,0.2754634975721433,0.672042959186073,-0.5533314457332521,1.4358765614626687,0.520870076425632,long_short_decile,6.0,6.0,0.15,50.0,1,1,1.273760533019792,9.553203997648444e-05,1.984126984126984e-05,ElasticNet,B,expanding,15pct_spread,
1701,0.0010430127801991,0.300439447019166,0.3935505995586343,0.7634074178926619,-0.6716692817068443,2.4880483724081577,0.4209288653733098,long_flat_hurdle,,,0.15,,1,1,0.3605595063674313,2.704196297755735e-05,,ElasticNet,B,expanding,15pct_spread,10.0
1701,0.0006105344895159,0.1662666430762027,0.275453957832757,0.6036095628625973,-0.5659613153146446,1.1858986826382072,0.5191064079952968,long_short_decile,6.0,6.0,0.25,50.0,1,1,1.273760533019792,0.0001592200666274,1.984126984126984e-05,ElasticNet,B,expanding,25pct_spread,
1701,0.0010249848048808,0.2945509605239829,0.3935480065572069,0.7484498856968962,-0.6725364952166032,2.3827486574087735,0.4209288653733098,long_flat_hurdle,,,0.25,,1,1,0.3605595063674313,4.5069938295928915e-05,,ElasticNet,B,expanding,25pct_spread,10.0
2016,0.000627146329365,0.1711560504997118,0.2121110570914972,0.8069171539033966,-0.2585511760024462,1.955997429280774,0.5203373015873016,long_short_decile,6.0,6.0,0.15,50.0,1,1,0.8315145502645501,6.236359126984129e-05,1.984126984126983e-05,ElasticNet,B,rolling_9m_3m,15pct_spread,
2016,0.0009003859717498,0.2545728782458805,0.2758249056883011,0.922951020723137,-0.339353075144205,3.530177185816892,0.1393849206349206,long_flat_hurdle,,,0.15,,1,1,0.0448369394053917,3.3627704554043844e-06,,ElasticNet,B,rolling_9m_3m,15pct_spread,10.0
2016,0.0005855706018518,0.1589571637560434,0.2121205918063732,0.7493716776970989,-0.2807007920224557,1.7183879918304146,0.5178571428571429,long_short_decile,6.0,6.0,0.25,50.0,1,1,0.8315145502645501,0.000103939318783,1.984126984126983e-05,ElasticNet,B,rolling_9m_3m,25pct_spread,
2016,0.0008981441247795,0.2538649496283387,0.2758253002749272,0.9203831170501776,-0.3406495973508893,3.5097499851427276,0.1393849206349206,long_flat_hurdle,,,0.25,,1,1,0.0448369394053917,5.6046174256739745e-06,,ElasticNet,B,rolling_9m_3m,25pct_spread,10.0
1701,0.0002747038996668,0.0716675317101651,0.2408178560626687,0.2976005719921154,-0.4860897938574953,0.3121741530931197,0.5073486184597296,long_short_decile,6.0,6.0,0.15,50.0,1,1,2.230256711738193,0.0001672619047619,1.984126984126984e-05,XGBoost,B,expanding,15pct_spread,
1701,5.540981285518302e-05,0.014060822389363,0.2735924417440936,0.0513933144487774,-0.5789812227807489,-0.147381467629898,0.0840681951793062,long_flat_hurdle,,,0.15,,1,1,0.2721914280115338,2.041435710086504e-05,,XGBoost,B,expanding,15pct_spread,10.0
