model,oos_r2,rmse,mae,ic,ic_ir,xs_oos_r2,accuracy,precision,recall,f1,long_only_accuracy,n_long_predictions,sharpe_ratio,max_drawdown,total_return,win_rate,win_loss_ratio,n_trades,final_equity,n_periods,window,feature_set,scheme,horizon,train_start,train_end,test_start,test_end,n_train,n_test
OLS,0.000526011177181,0.0129904275642217,0.0089223904186342,0.01966190282245,0.3851327010908676,0.0005884830912866,0.5039009954264192,0.4985250737463126,0.5516866158868335,0.5237603305785123,0.4985250737463126,2034,0.6700048527458444,-0.0128669454981175,0.4604570766876703,0.5396825396825397,0.9528325767061588,303,10046.045707668767,63,0,A,expanding,1,2016-01-04,2018-01-02,2018-01-03,2018-04-04,29677,3717
OLS,0.002357927195124,0.0124192024165545,0.0084660334997971,0.0593296443423326,0.7017793327587377,0.0024259976356487,0.5246166263115416,0.5197228144989339,0.5296034763715373,0.5246166263115416,0.5197228144989339,1876,4.771506350358719,-0.0132971993904171,6.935248747084377,0.6031746031746031,1.577170102243496,217,10693.524874708435,63,1,A,expanding,1,2016-01-04,2018-04-04,2018-04-05,2018-07-03,33394,3717
OLS,0.0009919549659451,0.0133861017405298,0.0084620088911753,0.0131221548387854,0.3827900126241081,0.0010369152520754,0.5090126446058649,0.4951731970471323,0.4823008849557522,0.4886522835528159,0.4951731970471323,1761,2.117163854939073,-0.022612897091836,3.2690454956634474,0.5238095238095238,1.3337489120763022,175,10326.904549566343,63,2,A,expanding,1,2016-01-04,2018-07-03,2018-07-05,2018-10-02,37111,3717
OLS,-0.0009842467805538,0.0175238227366551,0.0120220748788585,-0.0304895444582825,-0.0850689625409692,-0.0009395929799116,0.4942157654022061,0.5,0.5372340425531915,0.517948717948718,0.5,2020,-1.0197197478126436,-0.0445152261542491,-2.119038366041026,0.492063492063492,0.8287930621204833,169,9788.096163395898,63,3,A,expanding,1,2016-01-04,2018-10-02,2018-10-03,2019-01-03,40828,3717
OLS,-0.000538253113143,0.0131475146468356,0.0082646319993016,-0.0211191811297284,-0.113215180692874,-0.0004839458776852,0.4796879203658865,0.4852408078715691,0.4992008524240809,0.4921218487394957,0.4852408078715691,1931,-2.438533629577166,-0.0261621280470513,-2.1730443870893734,0.4444444444444444,0.8361117274260601,147,9782.695561291062,63,4,A,expanding,1,2016-01-04,2019-01-03,2019-01-04,2019-04-04,44545,3717
OLS,-0.0031923714529826,0.0125432789411977,0.0084278606921318,-0.0575191441890552,-0.1370266084883954,-0.003140962383126,0.481302125369922,0.5003174603174603,0.4085018144116122,0.4497716894977169,0.5003174603174603,1575,-2.8667762746005416,-0.0703891101875282,-5.490202548883172,0.3968253968253968,0.8813443847137735,201,9450.979745111685,63,5,A,expanding,1,2016-01-04,2019-04-04,2019-04-05,2019-07-05,48262,3717
OLS,-0.0024675841401435,0.012687991176377,0.008490536577202,-0.0344373387606108,0.1757517049594369,-0.0024143213427061,0.4971751412429379,0.491076568796776,0.4640914036996735,0.4772027972027972,0.491076568796776,1737,-2.5476465711485656,-0.0282735892370676,-2.710737487236181,0.4285714285714285,0.853366216449453,191,9728.926251276382,63,6,A,expanding,1,2016-01-04,2019-07-05,2019-07-08,2019-10-03,51979,3717
OLS,0.0022818790335275,0.01132336369592,0.00740901004311,0.0156920371851483,0.3327396246806987,0.0023444897749378,0.5039009954264192,0.4789859906604403,0.4031443009545199,0.4378048780487805,0.4789859906604403,1499,2.1268205527993915,-0.0171726764784743,1.9497424907481296,0.5238095238095238,1.29820676492714,173,10194.974249074812,63,7,A,expanding,1,2016-01-04,2019-10-03,2019-10-04,2020-01-03,55696,3717
OLS,-2.6064390223901057e-06,0.0253055522071415,0.0158040344618273,-0.0008799009784164,0.0271007153264779,3.910283050356789e-06,0.5012106537530266,0.4890510948905109,0.4047226798462383,0.4429086538461538,0.4890510948905109,1507,-0.8383161970892298,-0.0919194060729738,-3.038403920308952,0.5079365079365079,0.8232840468238852,240,9696.159607969104,63,8,A,expanding,1,2016-01-04,2020-01-03,2020-01-06,2020-04-03,59413,3717
OLS,0.0010744967688249,0.0207019483216014,0.0147674172159332,0.0362672112029964,0.6245746337706936,0.0010797191168074,0.519774011299435,0.5126382306477093,0.3571821684094661,0.4210184884852416,0.5126382306477093,1266,4.230401013182927,-0.0261204000823129,10.046824579910265,0.6031746031746031,1.3413465461119511,223,11004.682457991026,63,9,A,expanding,1,2016-01-04,2020-04-03,2020-04-06,2020-07-06,63130,3717
