model,oos_r2,rmse,mae,ic,ic_ir,accuracy,precision,recall,f1,auc,long_only_accuracy,n_long_predictions,sharpe_ratio,max_drawdown,total_return,win_rate,win_loss_ratio,n_trades,final_equity,n_periods,feature_set,horizon,beta,t_stat
XGBoost_A,-0.0004450247928742268,0.02875537502151145,0.020239617978297278,0.038276863861801576,0.21164907492986998,0.547339246119734,0.547339246119734,1.0,0.7074586229132335,0.5199456218536156,0.547339246119734,27060.0,2.146570922911274,-0.23736277803007616,264.51078872481884,0.6119733924611973,1.148433159873012,1.0,36451.078872481885,451.0,A,3,,
FFNN_A,-0.0030708647909505338,0.028793087005503256,0.020264092132251006,0.01813499875035618,0.07656748515694638,0.5427937915742794,0.5537011757452992,0.8489636081290932,0.6702558635394457,0.5172953122864847,0.5537011757452992,22709.0,1.9822264682069455,-0.2525679419585481,237.6910149796759,0.6208425720620843,1.0609134936491715,3851.0,33769.10149796759,451.0,A,3,,
TabNet_A,-0.0003131246153627032,0.028753479383071857,0.020243785737623612,0.02308266690985242,0.1384220244021694,0.5447154471544715,0.5518073291460421,0.8956856390520559,0.6828992072480181,0.507396780681312,0.5518073291460421,24041.0,2.303658147197874,-0.22500701368038614,291.1042238007805,0.6186252771618626,1.1688352865129017,1951.0,39110.42238007805,451.0,A,3,,
TFT_A,-0.05838370806781379,0.0297489596882277,0.0211156723862713,-0.013440440530282628,0.11840176044183882,0.47842227378190255,0.5474506885001861,0.2101728818402629,0.303737352880446,,0.5474506885001861,5374.0,0.6243987969139722,-0.4158749892901629,70.6388876342956,0.5399515738498789,1.0332672852620457,2142.0,17063.88876342956,431.0,A,3,,
XGBoost_B,0.0010007026799722096,0.028734590538400984,0.020219090217668278,0.03931050106073587,0.30326880123698935,0.547339246119734,0.547339246119734,1.0,0.7074586229132335,0.5028983197927325,0.547339246119734,27060.0,2.146570922911274,-0.23736277803007616,264.51078872481884,0.6119733924611973,1.148433159873012,1.0,36451.078872481885,451.0,B,3,,
FFNN_B,0.00014196373941588458,0.028746938000215088,0.020227791678029898,0.01562042821736865,0.16365715183164778,0.5478935698447893,0.5488197628158982,0.9779893322530552,0.7030870789243763,0.5148613405718321,0.5488197628158982,26393.0,2.072981113330233,-0.24450476430276713,253.19608653735816,0.6075388026607539,1.1455148999644233,927.0,35319.60865373581,451.0,B,3,,
TabNet_B,-0.0040836497475258415,0.028807619302874475,0.020285671695507174,0.013813728011427905,0.09101813084145301,0.5474131559497413,0.5476049015967323,0.9956788873134832,0.7065954337461968,0.501211228496775,0.5476049015967323,26930.0,2.156297915117459,-0.2370268901739156,267.99595741467243,0.614190687361419,1.14084558708387,105.0,36799.595741467245,451.0,B,3,,
TFT_B,-0.02084455436668864,0.029216623117697533,0.020597632750372494,0.019511414346194654,0.14269450722036903,0.5110595514307811,0.5449893673577884,0.5858694099157022,0.5646904909453969,,0.5449893673577884,15048.0,1.3551841103085709,-0.29395967456106065,159.87403407665042,0.5939675174013921,0.9961729477739296,3185.0,25987.403407665042,431.0,B,3,,
Naive Zero,-0.01047970576333146,,,,,0.547339246119734,,,,,,,,,,,,,,,C,3,,
Historical Mean,0.0,,,,,0.547339246119734,,,,,,,,,,,,,,,C,3,,
OLS Full,8.868420841534608e-05,,,,,0.547339246119734,,,,,,,,,,,,,,,C,3,,
Put-Call Volume (feat_01),5.6285050783033697e-05,,,,,0.547339246119734,,,,,,,,,,,,,,,C,3,0.00012700413935817778,0.9168364708417848
IV Change 1d (feat_10),-0.0034265030940912045,,,,,0.5424611973392461,,,,,,,,,,,,,,,C,3,-0.0406801775097847,-17.399663858083482
IV Skew (feat_08),6.525621714692509e-05,,,,,0.547339246119734,,,,,,,,,,,,,,,C,3,0.0036073809023946524,1.289927392641659
XGBoost_C,-0.0005316736259146637,0.028756620250224605,0.020251230844324165,0.029409500519704198,0.19016815292611194,0.547339246119734,0.547339246119734,1.0,0.7074586229132335,0.4944683698741625,0.547339246119734,27060.0,2.146570922911274,-0.23736277803007616,264.51078872481884,0.6119733924611973,1.148433159873012,1.0,36451.078872481885,451.0,C,3,,
FFNN_C,-0.00021835260271640955,0.028752117264755333,0.020230768393862154,0.024167056432948062,0.273543566650598,0.5466740576496674,0.5473813603516352,0.9921679832556883,0.7055236814941066,0.5138017492112595,0.5473813603516352,26846.0,2.163509277150586,-0.24001803048823783,267.452969523345,0.614190687361419,1.1448453148202649,365.0,36745.2969523345,451.0,C,3,,
TabNet_C,-0.005148291942978833,0.028822887792448182,0.020306404476549248,0.0020822920024645823,0.2110930812099059,0.547339246119734,0.547339246119734,1.0,0.7074586229132335,0.5144366794214389,0.547339246119734,27060.0,2.146570922911274,-0.23736277803007616,264.51078872481884,0.6119733924611973,1.148433159873012,1.0,36451.078872481885,451.0,C,3,,
TFT_C,-0.011043401505228534,0.029076030097625865,0.020518969012107414,0.02489748060999672,0.2288910115436161,0.5046017014694509,0.5448567757539112,0.5150021431633091,0.5295089793969665,,0.5448567757539112,13231.0,2.072972019048709,-0.23433643284160524,420.73262865987823,0.6116279069767442,1.2074093709258211,3239.0,52073.262865987825,431.0,C,3,,
