feature_set,scheme,horizon,N,n_draws,se_mean,se_median,se_p05,se_p95,se_pred_sqrtN,ic_mean,ic_sd_across_draws,se_full_ref,n_full,mean_ic_full,t_full,recon_max_abs_err
A,expanding,1,20,40,0.007272108769224734,0.007124281791443409,0.004571155109154145,0.010036955843256763,0.009691081236019304,0.010794335870388147,0.005905231746894862,0.005595148360354276,60,0.015068288815416785,2.693099064572916,
A,expanding,1,30,40,0.006519209372846557,0.006236795984236418,0.0045300552826167545,0.00859235530224097,0.007912734694702604,0.01393154414632394,0.004723246605514434,0.005595148360354276,60,0.015068288815416785,2.693099064572916,
A,expanding,1,40,40,0.006158836802467487,0.005989062277562916,0.004521432306471396,0.008043845986259445,0.006852629259018958,0.013972464832904496,0.0031179763313029553,0.005595148360354276,60,0.015068288815416785,2.693099064572916,
A,expanding,1,50,40,0.00578904886390789,0.005873784326788794,0.004878462184325344,0.006980524162469726,0.0061291779391081614,0.014068576500768589,0.002131982159042309,0.005595148360354276,60,0.015068288815416785,2.693099064572916,
A,expanding,1,60,1,0.005595148360354276,0.005595148360354276,0.005595148360354276,0.005595148360354276,0.005595148360354276,0.015068288815416785,,0.005595148360354276,60,0.015068288815416785,2.693099064572916,
A,expanding,3,20,40,0.0100198953066621,0.009639867623411316,0.006553603665767794,0.013824425667224185,0.012791032124572,0.0033257882231776505,0.007660569369174936,0.007384905840334795,60,0.007624847008322503,1.0324907552208995,
A,expanding,3,30,40,0.008613163095301338,0.008199809541439732,0.006314615458936899,0.011748607446931165,0.010443833996249745,0.005768932758975406,0.004731258935423233,0.007384905840334795,60,0.007624847008322503,1.0324907552208995,
A,expanding,3,40,40,0.007999973573701228,0.007764526194347908,0.005970066558691284,0.01036915212382849,0.009044625553659832,0.005309408028464452,0.002927577288408334,0.007384905840334795,60,0.007624847008322503,1.0324907552208995,
A,expanding,3,50,40,0.007569118219603906,0.0072994917615683995,0.006391914684550339,0.009402643982468161,0.008089759027606022,0.006488311223106327,0.002286636584876406,0.007384905840334795,60,0.007624847008322503,1.0324907552208995,
A,expanding,3,60,1,0.007384905840334795,0.007384905840334795,0.007384905840334795,0.007384905840334795,0.007384905840334795,0.007624847008322503,,0.007384905840334795,60,0.007624847008322503,1.0324907552208995,
A,expanding,5,20,40,0.011226702083411018,0.01074241886441854,0.008612269977892516,0.014429757085787065,0.013527201057462215,-0.0017666374873842798,0.0076871144308676325,0.007809933171908001,60,0.0012577589048763363,0.16104605214810824,
A,expanding,5,30,40,0.009345530838463002,0.00940486025351461,0.007275083164743725,0.011537173460434232,0.01104491341293982,0.002827934736638963,0.00605380002816903,0.007809933171908001,60,0.0012577589048763363,0.16104605214810824,
A,expanding,5,40,40,0.008324954928953104,0.008160993983856155,0.0068530685431452696,0.010109632114305685,0.00956517559820537,0.0027852356803187714,0.0034322361065208707,0.007809933171908001,60,0.0012577589048763363,0.16104605214810824,
A,expanding,5,50,40,0.008373515861807596,0.008368986861690046,0.007041595766556925,0.009566100355459746,0.008555353141723768,0.00021438878330729368,0.0030233393231970827,0.007809933171908001,60,0.0012577589048763363,0.16104605214810824,
A,expanding,5,60,1,0.007809933171908001,0.007809933171908001,0.007809933171908001,0.007809933171908001,0.007809933171908001,0.0012577589048763363,,0.007809933171908001,60,0.0012577589048763363,0.16104605214810824,
A,rolling_9m_3m,1,20,40,0.0063502909937738165,0.006378463323171931,0.005149223043283673,0.007712795661932547,0.007703421249788357,0.0016619236310733629,0.006815331206015595,0.004447572332246391,60,0.0006156597078154106,0.1384260135246528,
A,rolling_9m_3m,1,30,40,0.005671730642730398,0.005787229742394366,0.004635372502220787,0.006737777783851681,0.006289817111898184,0.0030586161391438324,0.003825055171390277,0.004447572332246391,60,0.0006156597078154106,0.1384260135246528,
A,rolling_9m_3m,1,40,40,0.005073484642869332,0.005089509741729755,0.004270410958197102,0.006122130868556286,0.005447141404061896,0.001223721411211907,0.003266985989750408,0.004447572332246391,60,0.0006156597078154106,0.1384260135246528,
A,rolling_9m_3m,1,50,40,0.004605155128536424,0.004592599661469129,0.004251593882618313,0.004941525813470764,0.004872071385014419,0.0005983246166014445,0.002108961804920691,0.004447572332246391,60,0.0006156597078154106,0.1384260135246528,
A,rolling_9m_3m,1,60,1,0.004447572332246391,0.004447572332246391,0.004447572332246391,0.004447572332246391,0.004447572332246391,0.0006156597078154106,,0.004447572332246391,60,0.0006156597078154106,0.1384260135246528,
A,rolling_9m_3m,3,20,40,0.008548819110023998,0.008264165520938591,0.006049842012745748,0.011971834032888307,0.008643957630434811,0.0030372105589331435,0.005733064143644089,0.004990591264795258,60,0.002912590266883835,0.583616271568841,
A,rolling_9m_3m,3,30,40,0.006488650981283808,0.006301617981997687,0.0049561139821165685,0.008447966305914602,0.007057761850934152,0.004389769487054549,0.004205638114283465,0.004990591264795258,60,0.002912590266883835,0.583616271568841,
A,rolling_9m_3m,3,40,40,0.0057554251079908825,0.005638657544115522,0.004180249266479803,0.007916139302481768,0.006112201056769655,0.003828819581157708,0.0031566324626949066,0.004990591264795258,60,0.002912590266883835,0.583616271568841,
A,rolling_9m_3m,3,50,40,0.005543395205311943,0.00535189000528327,0.004310382134632968,0.007224610412081587,0.0054669188220332005,0.0026410003531370727,0.001902919107856529,0.004990591264795258,60,0.002912590266883835,0.583616271568841,
A,rolling_9m_3m,3,60,1,0.004990591264795258,0.004990591264795258,0.004990591264795258,0.004990591264795258,0.004990591264795258,0.002912590266883835,,0.004990591264795258,60,0.002912590266883835,0.583616271568841,
A,rolling_9m_3m,5,20,40,0.012118571292963122,0.012595306393129783,0.008840671707165479,0.01493692905528663,0.01575223814685497,0.004010272530331899,0.007516492630355477,0.00909455893442581,60,0.001424779086832034,0.1566628021331293,
A,rolling_9m_3m,5,30,40,0.010089466029000928,0.010027091861341868,0.008135563329171857,0.012735004926789377,0.012861648588866386,0.003665224000282491,0.0035767315411911497,0.00909455893442581,60,0.001424779086832034,0.1566628021331293,
A,rolling_9m_3m,5,40,40,0.009640504931615558,0.009882390399346571,0.0075430821328440105,0.011148888449900893,0.011138514412506566,0.0029263213399952108,0.0030137194539474163,0.00909455893442581,60,0.001424779086832034,0.1566628021331293,
A,rolling_9m_3m,5,50,40,0.009438344409181603,0.009554147786415588,0.008469699566085908,0.010242485457599116,0.009962590157890326,0.0013048923993989423,0.0025213729531101186,0.00909455893442581,60,0.001424779086832034,0.1566628021331293,
A,rolling_9m_3m,5,60,1,0.00909455893442581,0.00909455893442581,0.00909455893442581,0.00909455893442581,0.00909455893442581,0.001424779086832034,,0.00909455893442581,60,0.001424779086832034,0.1566628021331293,
D,expanding,1,20,40,0.008370399761877426,0.008199000648138331,0.006077284443247914,0.011227474804083534,0.012678875936946091,0.004310773723898856,0.004341143947509471,0.007320152435217695,60,0.0048365506689265324,0.6607172066059165,
D,expanding,1,30,40,0.007676483816004842,0.007698957424719417,0.00528946338097044,0.009840349547807029,0.010352258852523305,0.005176077046501368,0.0037679343743105007,0.007320152435217695,60,0.0048365506689265324,0.6607172066059165,
