criterion,t_multiplier,effect,target_se,n_sqrtN,n_measured,n_decomposition,floor_on_effect
t*=3 detection threshold,3.0,0.002,0.0006666666666666666,6460.934607269568,199110.13975970665,,0.015237016935167056
t*=3 detection threshold,3.0,0.003,0.001,2871.5264921198077,48853.24405523727,,0.015237016935167056
t*=3 detection threshold,3.0,0.004,0.0013333333333333333,1615.233651817392,18028.08677361323,,0.015237016935167056
t*=3 detection threshold,3.0,0.015,0.005,114.86105968479231,184.83689185952312,,0.015237016935167056
t*=3 detection threshold,3.0,0.019,0.006333333333333333,71.58930312764065,81.4775819817946,91.13838478236701,0.015237016935167056
t*=3 detection threshold,3.0,0.025,0.008333333333333333,41.34998148652523,31.479484564142034,29.88967529447123,0.015237016935167056
t*=3 detection threshold,3.0,0.036,0.011999999999999999,19.94115619527645,8.897381783389886,11.037124014718534,0.015237016935167056
80% power at t*=3,3.8416212335729143,0.002,0.0005206135322559878,10594.535544526008,469070.1617079166,,0.019511615931482616
80% power at t*=3,3.8416212335729143,0.003,0.0007809202983839817,4708.682464233781,115090.06581283027,,0.019511615931482616
80% power at t*=3,3.8416212335729143,0.004,0.0010412270645119757,2648.633886131502,42471.15485122278,,0.019511615931482616
80% power at t*=3,3.8416212335729143,0.015,0.003904601491919908,188.3472985693513,435.444778747932,,0.019511615931482616
80% power at t*=3,3.8416212335729143,0.019,0.004945828556431883,117.39097556261505,191.9475452224289,,0.019511615931482616
80% power at t*=3,3.8416212335729143,0.025,0.0065076691531998476,67.80502748496643,74.1603965162408,78.81306725949882,0.019511615931482616
80% power at t*=3,3.8416212335729143,0.036,0.00937104358060778,32.69918377940127,20.96074221508002,21.035562078882055,0.019511615931482616
