model,feature_set,scheme,horizon,sharpe,annualized_return,max_drawdown,deflation_benchmark_sr0,excess_over_benchmark,survives_deflation
XGBoost,repr_grid,expanding,1,1.201725393936434,0.3207501400807211,-0.3222566360880827,1.152899522776316,0.04882587116011816,True
ElasticNet,repr_grid_raw,rolling_9m_3m,1,1.1639764348323087,0.2511534912603552,-0.2009809403260684,1.152899522776316,0.011076912055992816,True
ElasticNet,D,rolling_9m_3m,5,1.150423714495347,0.2593809573568566,-0.1843438936274413,1.152899522776316,-0.0024758082809688275,False
XGBoost,repr_grid_raw,expanding,5,1.047514690687966,0.2757593836169973,-0.2346441230661198,1.152899522776316,-0.10538483208834992,False
ElasticNet,repr_grid,rolling_9m_3m,5,0.9725281679281506,0.2016163439758975,-0.249331602303823,1.152899522776316,-0.18037135484816536,False
XGBoost,candidate_6,rolling_9m_3m,5,0.9705144677602112,0.2374466711486855,-0.2856133538621144,1.152899522776316,-0.1823850550161047,False
ElasticNet,A,rolling_9m_3m,1,0.9651029667037646,0.1826521509552783,-0.1787428647990407,1.152899522776316,-0.1877965560725513,False
ElasticNet,C,expanding,5,0.9294081900472462,0.2754999519074077,-0.4310862550829403,1.152899522776316,-0.22349133272906974,False
ElasticNet,candidate_6,rolling_9m_3m,1,0.9108454795601316,0.1928373433078885,-0.2857811501222992,1.152899522776316,-0.2420540432161843,False
ElasticNet,repr_bkm,rolling_9m_3m,1,0.9084187825425564,0.1717975679408094,-0.2227207010460737,1.152899522776316,-0.24448074023375954,False
ElasticNet,B,expanding,5,0.906169697668462,0.2772215424963504,-0.5589227347086518,1.152899522776316,-0.2467298251078539,False
ElasticNet,repr_grid_raw,expanding,5,0.9033712440271512,0.2847906784778184,-0.4544768760330348,1.152899522776316,-0.24952827874916472,False
ElasticNet,D,expanding,5,0.8796114645014622,0.2672417006366638,-0.3798972476607229,1.152899522776316,-0.2732880582748537,False
ElasticNet,repr_grid_raw,rolling_9m_3m,5,0.8738484991168644,0.2104862107408089,-0.3290629314100055,1.152899522776316,-0.27905102365945156,False
ElasticNet,candidate_6,expanding,5,0.8722201078289569,0.2686892964263894,-0.5269070650291707,1.152899522776316,-0.28067941494735904,False
ElasticNet,repr_grid_raw,rolling_9m_3m,3,0.8527509698560153,0.1834228785462059,-0.4023005248997334,1.152899522776316,-0.3001485529203006,False
ElasticNet,repr_grid,expanding,3,0.8462579126243718,0.2619424364437792,-0.4347657784561413,1.152899522776316,-0.30664161015194413,False
ElasticNet,C,rolling_9m_3m,5,0.8452961506743334,0.1631394661160259,-0.3821325633373004,1.152899522776316,-0.3076033721019825,False
ElasticNet,repr_grid,expanding,5,0.8360267783359573,0.2598196977301974,-0.500479229492566,1.152899522776316,-0.3168727444403586,False
ElasticNet,repr_bkm,expanding,5,0.8297918391253905,0.2319843324458996,-0.4005016008681052,1.152899522776316,-0.32310768365092546,False
ElasticNet,repr_grid,expanding,1,0.8284295142215448,0.2065523764055348,-0.3515580677314524,1.152899522776316,-0.32447000855477115,False
ElasticNet,repr_grid,rolling_9m_3m,1,0.8157359429407256,0.1903593028033212,-0.3432063107810293,1.152899522776316,-0.3371635798355903,False
ElasticNet,B,rolling_9m_3m,1,0.8069171539033966,0.1711560504997118,-0.2585511760024462,1.152899522776316,-0.34598236887291933,False
ElasticNet,A,expanding,5,0.7984270563239328,0.2225633291098154,-0.4084662941832647,1.152899522776316,-0.35447246645238306,False
FFNN,D,rolling_9m_3m,5,0.7983117848565136,0.1804330290288256,-0.2860098457399759,1.152899522776316,-0.35458773791980236,False
ElasticNet,repr_svi,rolling_9m_3m,5,0.7959726163256577,0.1851952133112857,-0.3706726288553544,1.152899522776316,-0.35692690645065817,False
ElasticNet,repr_bkm,rolling_9m_3m,5,0.7783062299808992,0.1587346653139731,-0.249331602303823,1.152899522776316,-0.37459329279541675,False
ElasticNet,A,rolling_9m_3m,5,0.7783062299808992,0.1587346653139731,-0.249331602303823,1.152899522776316,-0.37459329279541675,False
ElasticNet,C,rolling_9m_3m,1,0.7581819501968037,0.1607448913379605,-0.2902522374134587,1.152899522776316,-0.39471757257951223,False
XGBoost,repr_grid_raw,expanding,1,0.7364917477950483,0.1959917849822385,-0.2836555562095698,1.152899522776316,-0.4164077749812676,False
ElasticNet,repr_svi,expanding,5,0.7183920717287577,0.2158731844804586,-0.4650427021872449,1.152899522776316,-0.43450745104755817,False
ElasticNet,repr_grid,rolling_9m_3m,3,0.7114211942661818,0.1665292623628351,-0.4199468218309405,1.152899522776316,-0.44147832851013413,False
ElasticNet,candidate_6,rolling_9m_3m,3,0.7066444283371922,0.1686874201648187,-0.4597260527042273,1.152899522776316,-0.4462550944391237,False
ElasticNet,A,expanding,1,0.7047085407453266,0.1647089445274239,-0.358739648525271,1.152899522776316,-0.4481909820309893,False
ElasticNet,candidate_6,rolling_9m_3m,5,0.7036828372080848,0.1561241034947424,-0.426073323830867,1.152899522776316,-0.44921668556823113,False
XGBoost,repr_grid,rolling_9m_3m,3,0.6932972101562755,0.1545173699361599,-0.4270094176630206,1.152899522776316,-0.45960231262004037,False
ElasticNet,D,expanding,3,0.6905564174050611,0.2073189477067134,-0.5148800688719747,1.152899522776316,-0.4623431053712548,False
ElasticNet,B,expanding,1,0.672042959186073,0.1851233040561288,-0.5533314457332521,1.152899522776316,-0.48085656359024287,False
XGBoost,A,expanding,3,0.6574771585960906,0.1405209741071749,-0.2857914883313696,1.152899522776316,-0.49542236418022534,False
OLS,D,rolling_9m_3m,5,0.6470728538894692,0.1712235713472534,-0.3389675595649378,1.152899522776316,-0.5058266688868467,False
XGBoost,C,expanding,1,0.6396828780830427,0.1520298362389165,-0.3088381643492385,1.152899522776316,-0.5132166446932732,False
ElasticNet,repr_bkm,rolling_9m_3m,3,0.633811842003815,0.1395053964162087,-0.3857652056519874,1.152899522776316,-0.5190876807725009,False
OLS,repr_grid,rolling_9m_3m,5,0.6279273954878446,0.1665909260557636,-0.3374058582466321,1.152899522776316,-0.5249721272884713,False
ElasticNet,repr_bkm,expanding,1,0.623718793710649,0.1498599677778778,-0.4156941091735816,1.152899522776316,-0.5291807290656669,False
ElasticNet,A,rolling_9m_3m,3,0.6119372066664865,0.134290209048647,-0.3992757440422311,1.152899522776316,-0.5409623161098294,False
XGBoost,repr_grid,expanding,5,0.6025763195044497,0.1562668503386364,-0.3296001325229724,1.152899522776316,-0.5503232032718662,False
FFNN,A,rolling_9m_3m,3,0.6001644219985052,0.1324059369952099,-0.3747686288289981,1.152899522776316,-0.5527351007778107,False
ElasticNet,C,expanding,1,0.5888447780347918,0.1366027119971657,-0.3211395202522221,1.152899522776316,-0.5640547447415241,False
ElasticNet,D,rolling_9m_3m,3,0.5811341220761691,0.1266061327878134,-0.3619686357190567,1.152899522776316,-0.5717654007001468,False
OLS,D,rolling_9m_3m,1,0.5773899820470365,0.1416380968536812,-0.4214509536080522,1.152899522776316,-0.5755095407292794,False
ElasticNet,candidate_6,expanding,1,0.5718960488178697,0.1774347308445321,-0.5802219102778052,1.152899522776316,-0.5810034739584462,False
OLS,repr_grid,rolling_9m_3m,1,0.5684129974129708,0.1385550057559432,-0.4205185183779814,1.152899522776316,-0.5844865253633451,False
XGBoost,C,rolling_9m_3m,3,0.5651023161082653,0.1259482683140693,-0.4485984113381673,1.152899522776316,-0.5877972066680506,False
ElasticNet,repr_grid_raw,expanding,1,0.5601550101871563,0.1702859705386099,-0.4190895256595704,1.152899522776316,-0.5927445125891596,False
XGBoost,candidate_6,expanding,5,0.5593809603974287,0.1395829039480005,-0.5415068897054318,1.152899522776316,-0.5935185623788872,False
XGBoost,B,rolling_9m_3m,1,0.5584586035002491,0.1197962874054292,-0.4124850581099362,1.152899522776316,-0.5944409192760668,False
ElasticNet,D,expanding,1,0.5561234258947844,0.1190140326633761,-0.4289681940153493,1.152899522776316,-0.5967760968815315,False
XGBoost,repr_grid,expanding,3,0.5538174886893418,0.1372195790637989,-0.4233054230227759,1.152899522776316,-0.5990820340869741,False
OLS,candidate_6,rolling_9m_3m,1,0.5325276656107534,0.1504027804318797,-0.4452232848130232,1.152899522776316,-0.6203718571655625,False
XGBoost,repr_bkm,rolling_9m_3m,5,0.5297156096460894,0.1225980263046162,-0.3301313459122285,1.152899522776316,-0.6231839131302265,False
ElasticNet,C,rolling_9m_3m,3,0.5232083787263665,0.1124440210232369,-0.4298267259232669,1.152899522776316,-0.6296911440499494,False
XGBoost,repr_bkm,rolling_9m_3m,1,0.5108035452978845,0.1156422837854416,-0.387357120175851,1.152899522776316,-0.6420959774784314,False
ElasticNet,C,expanding,3,0.50370031417723,0.1621943189871102,-0.6473838223482028,1.152899522776316,-0.6491992085990859,False
ElasticNet,D,rolling_9m_3m,1,0.4908562743806073,0.1010748877081022,-0.3569170078492986,1.152899522776316,-0.6620432483957086,False
ElasticNet,candidate_6,expanding,3,0.4898521165469842,0.1445315712310542,-0.5308334712237361,1.152899522776316,-0.6630474062293317,False
XGBoost,C,expanding,5,0.4894062648298509,0.1216700700234223,-0.5340600817255379,1.152899522776316,-0.663493257946465,False
OLS,candidate_6,rolling_9m_3m,3,0.4808159903991748,0.1299471448114197,-0.4407224100809359,1.152899522776316,-0.6720835323771411,False
ElasticNet,repr_svi,rolling_9m_3m,1,0.4780953672479725,0.0941512342716173,-0.3783621952598361,1.152899522776316,-0.6748041555283434,False
ElasticNet,B,rolling_9m_3m,5,0.4752583198094214,0.1017587569717066,-0.3499920021290678,1.152899522776316,-0.6776412029668946,False
OLS,repr_grid_raw,rolling_9m_3m,5,0.4722390938072977,0.11908366633205,-0.4090270600571269,1.152899522776316,-0.6806604289690181,False
XGBoost,A,expanding,5,0.471661578988338,0.110521476706014,-0.3042114511709609,1.152899522776316,-0.6812379437879779,False
XGBoost,B,expanding,5,0.4665107354344837,0.1164978885769159,-0.4644602794005518,1.152899522776316,-0.6863887873418322,False
ElasticNet,B,expanding,3,0.4657965877430562,0.1454073087479797,-0.6634701979507307,1.152899522776316,-0.6871029350332597,False
ElasticNet,repr_grid_raw,expanding,3,0.4580287652944859,0.1431354049942974,-0.5624191964450223,1.152899522776316,-0.69487075748183,False
XGBoost,repr_grid_raw,rolling_9m_3m,1,0.4565874526062352,0.1015232200429219,-0.4034434512885361,1.152899522776316,-0.6963120701700807,False
XGBoost,B,expanding,3,0.4513107777663194,0.1031501735306743,-0.4523383660712383,1.152899522776316,-0.7015887450099965,False
ElasticNet,repr_svi,expanding,1,0.4487114068570975,0.0849449298527786,-0.337621700019055,1.152899522776316,-0.7041881159192185,False
OLS,candidate_6,expanding,3,0.4450089999440136,0.1251438853565853,-0.5319453538223214,1.152899522776316,-0.7078905228323022,False
ElasticNet,repr_svi,rolling_9m_3m,3,0.4433924837125768,0.1016234225066901,-0.3713256229717591,1.152899522776316,-0.7095070390637391,False
XGBoost,A,expanding,1,0.4417780483656209,0.0982729864321303,-0.4067540043679344,1.152899522776316,-0.7111214744106951,False
OLS,candidate_6,rolling_9m_3m,5,0.43433735778804,0.1246838364598497,-0.5046615883833122,1.152899522776316,-0.7185621649882759,False
ElasticNet,repr_bkm,expanding,3,0.4256985963562207,0.1153667588434956,-0.5090510581707954,1.152899522776316,-0.7272009264200952,False
ElasticNet,B,rolling_9m_3m,3,0.4215650780048867,0.0952764881415972,-0.435636615330263,1.152899522776316,-0.7313344447714292,False
OLS,repr_grid,rolling_9m_3m,3,0.4114469869707462,0.1012382716267472,-0.4638046392820467,1.152899522776316,-0.7414525358055697,False
XGBoost,candidate_6,rolling_9m_3m,3,0.4042251337899711,0.0890743830132991,-0.2990769875779164,1.152899522776316,-0.7486743889863448,False
XGBoost,A,rolling_9m_3m,5,0.4028928083727858,0.0906715730633442,-0.3962880187356534,1.152899522776316,-0.7500067144035301,False
XGBoost,D,expanding,5,0.4016503386063787,0.102618871076731,-0.4606463421869571,1.152899522776316,-0.7512491841699371,False
OLS,repr_bkm,rolling_9m_3m,5,0.4007623006908009,0.0924597614324453,-0.4055910835354056,1.152899522776316,-0.752137222085515,False
XGBoost,repr_bkm,rolling_9m_3m,3,0.3970857303946333,0.0865031039995736,-0.3299019262150021,1.152899522776316,-0.7558137923816826,False
ElasticNet,repr_svi,expanding,3,0.3951741088955826,0.1169005322098495,-0.4719163526859123,1.152899522776316,-0.7577254138807333,False
OLS,repr_grid_raw,rolling_9m_3m,1,0.3928611208938228,0.0963314825802219,-0.4023095019960071,1.152899522776316,-0.760038401882493,False
XGBoost,A,rolling_9m_3m,3,0.3919892616645985,0.0912910533117374,-0.3194407767616435,1.152899522776316,-0.7609102611117173,False
XGBoost,repr_grid_raw,rolling_9m_3m,5,0.3912499802961139,0.0950848448311822,-0.531407074575173,1.152899522776316,-0.761649542480202,False
XGBoost,repr_grid_raw,rolling_9m_3m,3,0.3843932144521796,0.0841593697782914,-0.4109357152300482,1.152899522776316,-0.7685063083241364,False
OLS,D,rolling_9m_3m,3,0.3777281679015418,0.093220336952686,-0.4824851315398231,1.152899522776316,-0.7751713548747741,False
XGBoost,repr_svi,expanding,5,0.3642618860844609,0.0852370941628613,-0.3469317260507543,1.152899522776316,-0.788637636691855,False
XGBoost,A,rolling_9m_3m,1,0.3631906763852888,0.0826010909250523,-0.5876604523768094,1.152899522776316,-0.7897088463910271,False
OLS,repr_grid_raw,rolling_9m_3m,3,0.3575766069621952,0.084963358229323,-0.3934706213607821,1.152899522776316,-0.7953229158141207,False
OLS,repr_bkm,rolling_9m_3m,3,0.3554758098503351,0.0811091812796669,-0.3834243407663578,1.152899522776316,-0.7974237129259808,False
FFNN,C,rolling_9m_3m,3,0.3497452967222936,0.0529874104520411,-0.2715239627037109,1.152899522776316,-0.8031542260540223,False
ElasticNet,A,expanding,3,0.3488801800978279,0.0934086566038996,-0.4927742423023683,1.152899522776316,-0.8040193426784881,False
XGBoost,repr_svi,rolling_9m_3m,5,0.3414716442542354,0.0812111424213883,-0.3727791956335983,1.152899522776316,-0.8114278785220805,False
FFNN,B,rolling_9m_3m,1,0.3307537333921697,0.0464952616217917,-0.3150745793955276,1.152899522776316,-0.8221457893841462,False
XGBoost,candidate_6,expanding,3,0.325532158691477,0.0781882179131718,-0.3725529257235291,1.152899522776316,-0.8273673640848389,False
FFNN,C,expanding,3,0.324899581477764,0.0508037883151035,-0.2359042065208534,1.152899522776316,-0.8279999412985519,False
XGBoost,candidate_6,expanding,1,0.3133257764853647,0.0777383024297486,-0.4349933618605286,1.152899522776316,-0.8395737462909512,False
OLS,C,rolling_9m_3m,1,0.3116486083284857,0.0549097800125566,-0.4021719296917155,1.152899522776316,-0.8412509144478302,False
OLS,B,rolling_9m_3m,1,0.3116486083284857,0.0549097800125566,-0.4021719296917155,1.152899522776316,-0.8412509144478302,False
XGBoost,repr_bkm,expanding,5,0.3100393570872277,0.0776933632160536,-0.4477656046499463,1.152899522776316,-0.8428601656890882,False
FFNN,B,expanding,5,0.3081193623450593,0.0473757473052156,-0.2352029811493028,1.152899522776316,-0.8447801604312566,False
XGBoost,B,expanding,1,0.2976005719921154,0.0716675317101651,-0.4860897938574953,1.152899522776316,-0.8552989507842005,False
FFNN,D,expanding,3,0.2904841433841651,0.061656848231872,-0.4571280317900678,1.152899522776316,-0.8624153793921507,False
OLS,candidate_6,expanding,5,0.2798948113933082,0.07697835009589,-0.5728660879414539,1.152899522776316,-0.8730047113830077,False
OLS,A,rolling_9m_3m,5,0.269822880513634,0.0658055509964736,-0.4568639364282658,1.152899522776316,-0.8830766422626819,False
OLS,repr_svi,rolling_9m_3m,5,0.269822880513634,0.0658055509964736,-0.4568639364282658,1.152899522776316,-0.8830766422626819,False
OLS,C,rolling_9m_3m,3,0.2458759756331399,0.0415812345529102,-0.3500263398047358,1.152899522776316,-0.907023547143176,False
OLS,B,rolling_9m_3m,3,0.2458759756331399,0.0415812345529102,-0.3500263398047358,1.152899522776316,-0.907023547143176,False
OLS,B,rolling_9m_3m,5,0.233529746816767,0.0389286143771663,-0.4070260352183293,1.152899522776316,-0.9193697759595489,False
OLS,C,rolling_9m_3m,5,0.233529746816767,0.0389286143771663,-0.4070260352183293,1.152899522776316,-0.9193697759595489,False
XGBoost,C,rolling_9m_3m,5,0.2303151594577831,0.0533570783475441,-0.5075568201865719,1.152899522776316,-0.9225843633185328,False
XGBoost,D,expanding,3,0.2164557577913454,0.0525122439997636,-0.3991774566546724,1.152899522776316,-0.9364437649849705,False
XGBoost,D,rolling_9m_3m,3,0.2115189206777477,0.0463140669333621,-0.4887715936078974,1.152899522776316,-0.9413806020985682,False
XGBoost,B,rolling_9m_3m,5,0.2065640040807729,0.0520128508783188,-0.3814766628642498,1.152899522776316,-0.946335518695543,False
