model,feature_set,scheme,horizon,n_windows,mean_ic,nw_se,nw_tstat,survives_5pct,survives_hlz_t3
ElasticNet,D,rolling_9m_3m,5,32,0.033098969576485296,0.006885008588237033,4.8073969919274395,True,True
ElasticNet,repr_grid,rolling_9m_3m,5,32,0.03460385855689729,0.008087132095621256,4.278878859371347,True,True
ElasticNet,B,rolling_9m_3m,3,32,0.020882410434258206,0.0056474109576737964,3.6976962701612566,True,True
XGBoost,A,expanding,1,27,0.013600008905711192,0.0037379974522868957,3.6383141185371186,True,True
ElasticNet,repr_bkm,rolling_9m_3m,5,32,0.031236488314269867,0.009655379540542854,3.2351383167391945,True,True
ElasticNet,A,rolling_9m_3m,5,32,0.03114170638589693,0.009699466418940449,3.210661807652177,True,True
XGBoost,B,rolling_9m_3m,1,32,0.008548096032956937,0.0027952837418638602,3.05804233929296,True,True
FFNN,candidate_6,rolling_9m_3m,3,32,0.008327183671933577,0.0028655108477807912,2.9060031925485834,True,False
ElasticNet,repr_grid_raw,rolling_9m_3m,1,32,0.009888315531037244,0.003647806125563877,2.7107568743140673,True,False
XGBoost,candidate_6,rolling_9m_3m,3,32,0.012184097442901418,0.00465567111124909,2.617044278205574,True,False
XGBoost,D,rolling_9m_3m,1,32,0.005968271998777947,0.0023185500856541166,2.57413977627926,True,False
OLS,D,rolling_9m_3m,3,32,0.011498286687239127,0.004566348933809755,2.5180481942815485,True,False
OLS,repr_grid,rolling_9m_3m,3,32,0.011472999474044916,0.004575098409788025,2.5077055062901885,True,False
ElasticNet,B,rolling_9m_3m,5,32,0.02899106756528496,0.011691280829840342,2.479716977740314,True,False
XGBoost,repr_grid_raw,rolling_9m_3m,1,32,0.008330035444586967,0.0034524605719122425,2.4127822088271214,True,False
ElasticNet,candidate_6,rolling_9m_3m,1,32,0.011359296759231283,0.004723414083376811,2.4048911568452667,True,False
XGBoost,repr_grid,expanding,1,27,0.012220410388544012,0.00522610686423368,2.338339170248852,True,False
ElasticNet,repr_grid,expanding,3,27,0.021303453754872373,0.009423221691807359,2.260739951962905,True,False
XGBoost,C,rolling_9m_3m,3,32,0.01121374568407744,0.0050591897888969,2.216510182853305,True,False
ElasticNet,repr_svi,expanding,3,27,0.018021715258507192,0.008480418702382947,2.1250973437718588,True,False
OLS,candidate_6,rolling_9m_3m,1,32,0.010942785076462586,0.005169928912962075,2.1166219614793493,True,False
ElasticNet,repr_grid_raw,expanding,5,27,0.021856593109808115,0.010355476258242227,2.1106313765541986,True,False
ElasticNet,C,rolling_9m_3m,1,32,0.007860832456033664,0.003769054258076003,2.085624646870008,True,False
XGBoost,candidate_6,rolling_9m_3m,5,32,0.012450014334108288,0.005972974257054813,2.0843910919929547,True,False
OLS,candidate_6,expanding,3,27,0.01671993353791366,0.008097074890003731,2.0649350246908678,True,False
OLS,candidate_6,rolling_9m_3m,3,32,0.016932663568953784,0.008243332133377378,2.054104249954114,True,False
ElasticNet,repr_grid,expanding,5,27,0.01945830974347079,0.009645309415983693,2.0173857472343513,True,False
FFNN,C,rolling_9m_3m,3,32,0.007692498736415778,0.0038649462486752277,1.9903248949587604,True,False
ElasticNet,D,expanding,5,27,0.02055422456828069,0.010387905081642572,1.9786688852792813,True,False
OLS,repr_grid,rolling_9m_3m,1,32,0.008480864649155033,0.004314163254617846,1.9658191284433157,True,False
ElasticNet,C,rolling_9m_3m,3,32,0.015673991351193718,0.008100031304453689,1.9350531821495052,False,False
OLS,D,rolling_9m_3m,1,32,0.0074162381456477616,0.0038350695567604684,1.9337949510131835,False,False
XGBoost,D,expanding,5,27,0.016718949748900005,0.0086621679268719,1.9301114790252727,False,False
XGBoost,B,expanding,5,27,0.018775345810687384,0.009737063842756922,1.9282348471663497,False,False
XGBoost,repr_bkm,expanding,1,27,0.005553834432225217,0.0028991116941775134,1.9157021246816281,False,False
OLS,candidate_6,expanding,5,27,0.02019334107523017,0.01054616090178964,1.9147575372004273,False,False
XGBoost,repr_grid_raw,expanding,5,27,0.017662409398656938,0.009296799936553446,1.8998375268043932,False,False
ElasticNet,D,expanding,3,27,0.018578491158466857,0.009830301946012037,1.8899207023853208,False,False
OLS,B,rolling_9m_3m,5,32,0.012799460110549875,0.0068649860976478785,1.864455357737039,False,False
OLS,C,rolling_9m_3m,5,32,0.012799462283858188,0.00686498743312878,1.8644553116136904,False,False
ElasticNet,C,expanding,5,27,0.020349215809428375,0.011151018359288752,1.824875105911521,False,False
XGBoost,B,rolling_9m_3m,5,32,0.011912588081776955,0.006553179588915598,1.8178333006357021,False,False
XGBoost,B,rolling_9m_3m,3,32,0.007982710856023855,0.004395498742286211,1.8161103720102176,False,False
ElasticNet,B,rolling_9m_3m,1,32,0.008773209440355928,0.0048990236082148315,1.7908077490471253,False,False
FFNN,B,rolling_9m_3m,1,32,0.005658784038794993,0.003175579355426297,1.7819690221645699,False,False
XGBoost,C,expanding,1,27,0.008224760083755571,0.00467754988296187,1.7583479149446448,False,False
ElasticNet,repr_grid_raw,expanding,3,27,0.015936236064506507,0.009182132354770643,1.7355702846329286,False,False
XGBoost,repr_svi,expanding,3,27,0.010886205872369705,0.006309213442538625,1.725445805807046,False,False
ElasticNet,repr_svi,expanding,5,27,0.018197863046738923,0.010667040890780572,1.7059898085201093,False,False
ElasticNet,B,expanding,5,27,0.021755002594453447,0.012809009181466212,1.6984141619580924,False,False
OLS,D,rolling_9m_3m,5,32,0.010417524127774858,0.006235974192345329,1.6705527967967522,False,False
OLS,repr_grid,rolling_9m_3m,5,32,0.01038473074231491,0.006240543878569408,1.6640746294528934,False,False
ElasticNet,candidate_6,expanding,3,27,0.01373178743874947,0.008337107431311089,1.6470685488803898,False,False
OLS,candidate_6,rolling_9m_3m,5,32,0.018229953551898062,0.011068336915973377,1.6470363786622115,False,False
XGBoost,C,rolling_9m_3m,1,32,0.007236992115378053,0.0044242873624847365,1.6357418771536723,False,False
XGBoost,repr_grid,expanding,3,27,0.013826036334332992,0.008476593056893853,1.6310841208884668,False,False
ElasticNet,repr_bkm,expanding,3,27,0.014060624983820727,0.008650425298213013,1.625425860474784,False,False
