N,mde_t3
60,0.019199032858038
80,0.016626850183153064
100,0.014871506904494031
120,0.013575766326142012
140,0.01256871733455764
160,0.01175695851428032
180,0.011084566788768709
200,0.010515743378630291
220,0.010026367909631032
240,0.009599516429019
260,0.009222917059202492
280,0.008887425258082617
300,0.008586068514565007
320,0.008313425091576532
340,0.008065207003112992
360,0.007837972342853548
380,0.007628922073447888
400,0.007435753452247016
420,0.007256552336475169
440,0.007089712739571291
460,0.006933875847109854
480,0.006787883163071006
500,0.006650740073261226
520,0.006521587194883172
540,0.006399677619345999
560,0.00628435866727882
580,0.00617505713515957
600,0.006071267270381224
700,0.0056209012700101715
800,0.005257871689315146
900,0.0049571689681646765
1000,0.004702783405712128
1100,0.00448392804267149
1200,0.004293034257282504
1300,0.004124613899043845
1400,0.003974577404404269
1500,0.0038398065716076
1600,0.003717876726123508
1700,0.003606870222313601
1800,0.0035052477928767638
1900,0.003411757670255625
2000,0.003325370036630613
2100,0.0032452288613286813
2200,0.003170615925325534
2300,0.0031009235483363145
2400,0.003035633635190612
2500,0.0029743013808988064
2600,0.002916542457790189
2700,0.0028620228381883357
2800,0.0028104506350050858
2900,0.002761569503832381
3000,0.0027151532652284023
3100,0.002671001489174919
