model,oos_r2,rmse,mae,ic,ic_ir,accuracy,precision,recall,f1,auc,long_only_accuracy,n_long_predictions,sharpe_ratio,max_drawdown,total_return,win_rate,win_loss_ratio,n_trades,final_equity,n_periods,regime_name,regime_value,n_samples
XGBoost_A|vix_regime=high_vix,-0.1555645838779347,0.029011717294276016,0.021387189902380973,-0.013905487240275174,0.01212514823389221,0.7638888888888888,0.7638888888888888,1.0,0.8661417322834646,0.5307807486631017,0.7638888888888888,360,24.949493951712164,0.0,9.635583471177123,1.0,inf,1,10963.558347117712,6,vix_regime,high_vix,360
XGBoost_A|vix_regime=low_vix,0.001956300219755014,0.027685921196305197,0.019428892351581913,0.017871717642496225,0.23191638290976935,0.5309929078014184,0.5309929078014184,1.0,0.6936582202251355,0.503238185060365,0.5309929078014184,14100,1.459999213872525,-0.19541916621617217,47.0970732635811,0.6042553191489362,0.9691646539180444,1,14709.70732635811,235,vix_regime,low_vix,14100
XGBoost_A|vix_regime=normal_vix,0.0008562484485949984,0.029899761521445748,0.021114070791314464,0.07607203015688509,0.3971525171422014,0.5594444444444444,0.5594444444444444,1.0,0.717491984324902,0.5248319666955957,0.5594444444444444,12600,2.5518443422863593,-0.14292462057613675,125.79985824186117,0.6095238095238096,1.3048966103950026,1,22579.98582418612,210,vix_regime,normal_vix,12600
XGBoost_A|earnings_regime=far_earnings,-0.0001970947492702102,0.025964261007426104,0.018943947915643744,0.03684303434118675,0.1969788141176083,0.5490291262135922,0.5490291262135922,1.0,0.708868693199624,0.5208071007967078,0.5490291262135922,24720,1.8600794407565615,-0.26769688430205457,208.6390412589711,0.6053215077605322,1.092158362397772,1,30863.904125897112,451,earnings_regime,far_earnings,24720
XGBoost_A|earnings_regime=near_earnings,-0.0011692772309990218,0.04939953135210116,0.03392720940940644,0.05381506367776345,0.30105599705778113,0.5294871794871795,0.5294871794871795,1.0,0.6923721709974854,0.5137661924481303,0.5294871794871795,2340,0.7568399273300556,-0.6664407010778739,184.03473868922035,0.5601023017902813,1.005692717997852,1,28403.473868922036,391,earnings_regime,near_earnings,2340
XGBoost_A|gex_regime=negative_gex,-0.0032858534973931874,0.029045588473375343,0.02145278728179838,0.05063612555556832,0.306810715971366,0.5434015525758645,0.5434015525758645,1.0,0.7041609510745314,0.556262419960256,0.5434015525758645,5668,1.6367651106176921,-0.27349964291404455,270.4840775634676,0.5809312638580931,1.1202520817552752,1,37048.40775634676,451,gex_regime,negative_gex,5668
XGBoost_A|gex_regime=positive_gex,0.00032431984750447285,0.02867798823386655,0.01991817801886178,0.036130616858634126,0.1944602190098457,0.5483825729244577,0.5483825729244577,1.0,0.7083295595205749,0.5107539590939428,0.5483825729244577,21392,2.1030874764768863,-0.2312359302357498,246.53890117283711,0.614190687361419,1.13591735816254,1,34653.890117283714,451,gex_regime,positive_gex,21392
XGBoost_C|vix_regime=high_vix,-0.21744507973891603,0.029778376374260136,0.022453392188754397,0.04379108639760794,0.5628029723401978,0.7638888888888888,0.7638888888888888,1.0,0.8661417322834646,0.4750374331550802,0.7638888888888888,360,24.949493951712164,0.0,9.635583471177123,1.0,inf,1,10963.558347117712,6,vix_regime,high_vix,360
XGBoost_C|vix_regime=low_vix,0.0021833904922839986,0.027682771253536107,0.019421023097460605,-0.013992576180816134,0.046286860791902106,0.5309929078014184,0.5309929078014184,1.0,0.6936582202251355,0.501900284602389,0.5309929078014184,14100,1.459999213872525,-0.19541916621617217,47.0970732635811,0.6042553191489362,0.9691646539180444,1,14709.70732635811,235,vix_regime,low_vix,14100
XGBoost_C|vix_regime=normal_vix,0.001905461863737079,0.029884058340093098,0.021117353951211573,0.07474537120658915,0.40765042464441187,0.5594444444444444,0.5594444444444444,1.0,0.717491984324902,0.492670474396751,0.5594444444444444,12600,2.5518443422863593,-0.14292462057613675,125.79985824186117,0.6095238095238096,1.3048966103950026,1,22579.98582418612,210,vix_regime,normal_vix,12600
XGBoost_C|earnings_regime=far_earnings,-0.0010184708409890497,0.025974919929926916,0.018958851991590576,0.025600659536518633,0.14204951298017832,0.5490291262135922,0.5490291262135922,1.0,0.708868693199624,0.49385952100564584,0.5490291262135922,24720,1.8600794407565615,-0.26769688430205457,208.6390412589711,0.6053215077605322,1.092158362397772,1,30863.904125897112,451,earnings_regime,far_earnings,24720
XGBoost_C|earnings_regime=near_earnings,0.0008903568176903409,0.049348692127840994,0.03390405359627899,0.056235989980119756,0.36385522562801675,0.5294871794871795,0.5294871794871795,1.0,0.6923721709974854,0.5104633765327433,0.5294871794871795,2340,0.7568399273300556,-0.6664407010778739,184.03473868922035,0.5601023017902813,1.005692717997852,1,28403.473868922036,391,earnings_regime,near_earnings,2340
XGBoost_C|gex_regime=negative_gex,-0.0011802390367068316,0.02901509320954176,0.021466992418124286,0.07315563982068277,0.3856562892424822,0.5434015525758645,0.5434015525758645,1.0,0.7041609510745314,0.49446803679319146,0.5434015525758645,5668,1.6367651106176921,-0.27349964291404455,270.4840775634676,0.5809312638580931,1.1202520817552752,1,37048.40775634676,451,gex_regime,negative_gex,5668
XGBoost_C|gex_regime=positive_gex,-0.00035603110233206614,0.028687745287266905,0.019929104039897318,0.016761519502305224,0.0937328830377337,0.5483825729244577,0.5483825729244577,1.0,0.7083295595205749,0.49444360037475704,0.5483825729244577,21392,2.1030874764768863,-0.2312359302357498,246.53890117283711,0.614190687361419,1.13591735816254,1,34653.890117283714,451,gex_regime,positive_gex,21392
