model,oos_r2,rmse,mae,ic,ic_ir,accuracy,precision,recall,f1,long_only_accuracy,n_long_predictions,sharpe_ratio,max_drawdown,total_return,win_rate,win_loss_ratio,n_trades,final_equity,n_periods,window,train_start,train_end,test_start,test_end,n_train,n_test,feature_set
window_0,0.028736878197976656,0.027540137977021806,0.018133492059981514,0.005660077873126998,0.011662997998408893,0.511164917944579,0.5526793823796549,0.5939482674475354,0.572571159727123,0.5526793823796549,2202,8.251580727254758,-0.07808097455464375,76.71656891691757,0.6825396825396826,2.2279172822567808,707,17671.656891691757,63,0,2016-01-04,2016-09-30,2016-10-03,2016-12-30,11151,3717,A
window_1,-0.02670585765900757,0.019635069390300443,0.013027166252346963,0.04639664061914037,0.36632422183411745,0.580575733118106,0.6091228070175438,0.7959651535992663,0.6901212482607831,0.6091228070175438,2850,5.268454164400018,-0.06036987125430528,28.65929142239367,0.6666666666666666,1.2602731168216132,660,12865.929142239367,63,1,2016-04-05,2016-12-30,2017-01-03,2017-04-03,11151,3717,A
window_2,-0.02540188020302825,0.023124884521729144,0.014485963628662122,0.03283092956688562,0.3069213783091804,0.5213882163034705,0.5724988981930366,0.6162239089184061,0.5935572309801234,0.5724988981930366,2269,-0.16484723184388325,-0.2419676443349863,-3.8201183824844165,0.6666666666666666,0.4818912684130452,657,9617.988161751558,63,2,2016-07-05,2017-04-03,2017-04-04,2017-07-03,11151,3717,A
window_3,0.00817916309097566,0.02006103704080284,0.014090190428442142,0.046497535814550496,0.2698373140180963,0.5953726123217649,0.6067481093659104,0.9320822162645219,0.7350246652572234,0.6067481093659104,3438,6.945460668775652,-0.05991629182102119,23.92209474793021,0.746031746031746,0.9579029172198288,235,12392.20947479302,63,3,2016-10-03,2017-07-03,2017-07-05,2017-10-02,11151,3717,A
window_4,-0.02261974432047298,0.022007557174428847,0.014647050498328576,0.07485952148464131,0.6027913199267575,0.6101694915254238,0.6138070479491623,0.9499329459097005,0.7457448675206176,0.6138070479491623,3462,12.396039181385126,-0.015086018338927027,32.68697191741787,0.8095238095238095,1.749855425946398,167,13268.697191741787,63,4,2017-01-03,2017-10-02,2017-10-03,2018-01-02,11151,3717,A
window_5,-0.17803520965572295,0.032425896635760544,0.024232780561664606,0.009577926266462956,0.37823457264503463,0.51439332795265,0.5140161725067386,0.998952331063384,0.6787684641395266,0.5140161725067386,3710,-0.6222183961811406,-0.23041015175777793,-6.142422225040988,0.5555555555555556,0.7258421006147293,9,9385.7577774959,63,5,2017-04-04,2018-01-02,2018-01-03,2018-04-04,11151,3717,A
window_6,-0.5366666579159363,0.02969252745922959,0.02325694387255037,0.13531356407161033,1.008558252198949,0.47807371536185095,0.6729559748427673,0.10439024390243902,0.18074324324324326,0.6729559748427673,318,2.486030992488413,-0.09500432234059454,15.299330213038399,0.5,1.8341536932607079,182,11529.93302130384,63,6,2017-07-05,2018-04-04,2018-04-05,2018-07-03,11151,3717,A
window_7,-0.06755926097705656,0.025075417278589536,0.016878052895313075,0.05177426313624409,0.8323768671339371,0.5684691955878397,0.5871587158715872,0.8956521739130435,0.7093149691917361,0.5871587158715872,3333,7.559856270881879,-0.036125684285029123,26.906061030793005,0.6349206349206349,1.8117897828303215,303,12690.6061030793,63,7,2017-10-03,2018-07-03,2018-07-05,2018-10-02,11151,3717,A
window_8,-0.072719449580666,0.042898371501994825,0.03170619088626928,0.045659088557412665,0.5861124815766974,0.4829163303739575,0.48376718338695524,0.9133075648812811,0.6325047801147228,0.48376718338695524,3419,-1.9406446818616991,-0.36751571588704224,-21.879324783715038,0.47619047619047616,0.8244444095214624,443,7812.067521628496,63,8,2018-01-03,2018-10-02,2018-10-03,2019-01-03,11151,3717,A
window_9,-0.7829910750417512,0.03387582754935649,0.026444068301151157,0.019819357154331512,0.023214284207371746,0.38875437180521927,0.7385892116182573,0.07457059069962296,0.1354642313546423,0.7385892116182573,241,3.032726552253712,-0.021377758775108044,10.243555757305556,0.45454545454545453,5.398926528501899,354,11024.355575730555,63,9,2018-04-05,2019-01-03,2019-01-04,2019-04-04,11151,3717,A
window_10,-0.056366782666368964,0.02579375064105197,0.018856663834753564,0.048472060515175046,0.40914582022548984,0.5353779930051117,0.5682298267849598,0.6560975609756098,0.6090106407063618,0.5682298267849598,2367,4.4923042419759245,-0.06055762134217311,36.77289752683712,0.5535714285714286,2.2091436482158664,853,13677.289752683711,63,10,2018-07-05,2019-04-04,2019-04-05,2019-07-05,11151,3717,A
window_11,-0.07022339686204004,0.027923008544397016,0.020409081746348305,-0.031631675577144455,-0.13433986115218968,0.4915254237288136,0.5005675368898979,0.46617336152219874,0.4827586206896552,0.5005675368898979,1762,-0.9382061161919966,-0.17758572586984664,-6.127982800744669,0.42857142857142855,1.1261506000134138,1090,9387.201719925533,63,11,2018-10-03,2019-07-05,2019-07-08,2019-10-03,11151,3717,A
window_12,-0.5644008159815983,0.02773525336983134,0.020686803394428327,0.02108814994813165,0.5999979113134506,0.3949421576540221,0.8188976377952756,0.04463519313304721,0.08465608465608465,0.8188976377952756,127,1.303655042633624,-0.030629585532556045,2.5813337286290094,0.5,1.8486199504450243,130,10258.133372862902,63,12,2019-01-04,2019-10-03,2019-10-04,2020-01-03,11151,3717,A
window_13,-0.2879131959529462,0.08297831196906136,0.05457681776148275,-0.30957990414937786,-2.149955227093749,0.45601291364003227,0.4682857142857143,0.9105555555555556,0.6184905660377359,0.4682857142857143,3500,-1.601363786677585,-0.6841971603806516,-36.506138219347385,0.5396825396825397,0.6365801197083469,242,6349.386178065261,63,13,2019-04-05,2020-01-03,2020-01-06,2020-04-03,11151,3717,A
window_14,-0.026702274040242502,0.04596215760338221,0.03340365799911389,0.02408939189569327,0.30164674838456995,0.5846112456281948,0.5845449649973075,0.9995395948434622,0.7376826367652056,0.5845449649973075,3714,4.795950670135927,-0.16299960064102553,62.92601504412032,0.6825396825396826,0.9745617116686193,5,16292.601504412032,63,14,2019-07-08,2020-04-03,2020-04-06,2020-07-06,11151,3717,A
window_15,-0.07154349843779628,0.034903187091632884,0.02390605128577483,-0.04225128258130272,-0.2214586649985536,0.5711595372612321,0.57888597258676,0.9297423887587822,0.7135154565061107,0.57888597258676,3429,4.609576504656251,-0.1770139211670293,34.32861737688986,0.6666666666666666,1.0440030894813002,337,13432.861737688985,63,15,2019-10-04,2020-07-06,2020-07-07,2020-10-02,11151,3717,A
window_16,0.05608419808891563,0.03522558799778938,0.025013370296385066,0.14527744168158033,1.0981814572640483,0.5499058380414312,0.5657938349353663,0.8246376811594203,0.6711224690387262,0.5657938349353663,3017,6.095110031946083,-0.20953355998961756,78.53734369053988,0.6666666666666666,1.5365126264539515,724,17853.73436905399,63,16,2020-01-06,2020-10-02,2020-10-05,2021-01-04,11151,3717,A
window_17,-0.05222486197348353,0.03237202649383094,0.023918148539867866,0.0868097442417204,0.5168838691644358,0.5657788539144472,0.5672211617125715,0.9871855719031799,0.7204710772428126,0.5672211617125715,3667,5.1458753477905,-0.08348778621293236,33.034080189792725,0.6349206349206349,1.298629935134117,99,13303.408018979273,63,17,2020-04-06,2021-01-04,2021-01-05,2021-04-06,11151,3717,A
window_18,-0.05584484073613627,0.024621067241142203,0.017904494937489905,0.046479197424144636,0.3057033136253577,0.5418679549114331,0.5645805592543276,0.809546539379475,0.6652284761717984,0.5645805592543276,3004,2.436310894636936,-0.11168026434598254,14.531863066237683,0.6507936507936508,0.8485671845343661,723,11453.186306623767,63,18,2020-07-07,2021-04-06,2021-04-07,2021-07-13,11151,3726,A
window_19,0.01407473190014219,0.024387113074946648,0.017969331805504245,0.11931483106909348,0.7079666627309571,0.5547619047619048,0.5478260869565217,0.8043922369765066,0.6517690875232774,0.5478260869565217,2875,2.9817605187092457,-0.08470093982213471,14.901597949736,0.6031746031746031,1.0664869936153005,1083,11490.1597949736,63,19,2020-10-05,2021-07-13,2021-07-14,2021-10-11,11160,3780,A
window_20,-0.04095305393961257,0.031342329321377906,0.022661012213905214,0.051759315336441875,0.27094156413527426,0.5314814814814814,0.5756578947368421,0.6545114539504441,0.6125574272588055,0.5756578947368421,2432,6.724321733514385,-0.08839357082225033,44.679928757516585,0.6229508196721312,1.8852058812325374,1337,14467.992875751659,63,20,2021-01-05,2021-10-11,2021-10-12,2022-01-10,11223,3780,A
window_21,-0.038848980861639015,0.039404373293274515,0.029326924953803277,0.16038544786713452,1.1941230164767564,0.5268096514745308,0.5073089700996678,0.8441127694859039,0.6337414401328076,0.5073089700996678,3010,-0.7474931808315034,-0.209838588717889,-7.546930159873777,0.4444444444444444,1.112222350622795,837,9245.306984012623,63,21,2021-04-07,2022-01-10,2022-01-11,2022-04-11,11286,3730,A
window_22,-0.07083405683709088,0.044502821760487435,0.03286772444090436,0.04277508272482632,0.563161910991817,0.48716577540106953,0.4640302902818679,0.6313680595306239,0.534917555771096,0.4640302902818679,2377,-2.9021031557871866,-0.30365406732863715,-28.407495420594554,0.3793103448275862,0.9619038168010747,824,7159.250457940545,63,22,2021-07-14,2022-04-11,2022-04-12,2022-07-13,11290,3740,A
window_23,-0.24525331732465872,0.04238247460599458,0.03291027308914374,-0.03237168808050367,-0.19563120568028694,0.5092592592592593,0.4405034324942792,0.2198743575099943,0.29333333333333333,0.4405034324942792,874,-1.5808390343815095,-0.2390089612567751,-14.848679032375856,0.3,1.5979378745548938,541,8515.132096762414,63,23,2021-10-12,2022-07-13,2022-07-14,2022-10-11,11250,3780,A
window_24,0.06140621141552616,0.03696726305735175,0.026605739754027555,0.1597042064146129,1.3337403781980461,0.5552910052910053,0.6351239669421488,0.6582441113490364,0.6464773922187171,0.6351239669421488,2420,5.59069375101882,-0.09098732698882901,51.196471547627475,0.5636363636363636,2.1509055325386597,1092,15119.647154762748,63,24,2022-01-11,2022-10-11,2022-10-12,2023-01-11,11250,3780,A
window_25,-0.07750673961460142,0.03226722330213725,0.023257908121556425,0.003629230754185049,-0.04571200195314721,0.4873015873015873,0.5315860215053764,0.38927165354330706,0.44943181818181815,0.5315860215053764,1488,2.115882681240552,-0.14926352386823888,14.13676875808032,0.4523809523809524,2.064866762039365,1181,11413.676875808032,63,25,2022-04-12,2023-01-11,2023-01-12,2023-04-13,11300,3780,A
window_26,-0.16959515018959048,0.031092697412147437,0.02216079042101549,0.09991564553050386,0.8944179926044681,0.4724867724867725,0.5857142857142857,0.08031341821743389,0.14125753660637383,0.5857142857142857,280,2.8711812487908204,-0.13337909808369133,25.14743470730818,0.4772727272727273,2.2212006834795424,442,12514.743470730818,63,26,2022-07-14,2023-04-13,2023-04-14,2023-07-14,11340,3780,A
window_27,-0.035997003502795666,0.027306698398067906,0.020197970529235724,-0.044972410523595255,-0.4677337074899163,0.4748677248677249,0.4569088319088319,0.7360872059667241,0.5638321248077346,0.4569088319088319,2808,-2.0135160280053523,-0.20301889105618742,-11.881857483571224,0.47619047619047616,0.78864860069771,1064,8811.814251642878,63,27,2022-10-12,2023-07-14,2023-07-17,2023-10-12,11340,3780,A
window_28,-0.056144812462481486,0.02946835091692726,0.02124953895414833,-0.11613691422345078,-0.593758669481981,0.46455026455026455,0.5487746275828929,0.5127974854063763,0.5301764159702879,0.5487746275828929,2081,2.1810529481453798,-0.12021853112733498,19.916285009717893,0.49206349206349204,1.5457360630763213,922,11991.628500971789,63,28,2023-01-12,2023-10-12,2023-10-13,2024-01-12,11340,3780,A
window_29,-0.03630590889937735,0.02693386282527142,0.019306097128262593,0.008308067906406062,-0.02218724924106628,0.5142857142857142,0.5375206611570248,0.7881725642268541,0.6391509433962265,0.5375206611570248,3025,1.6143412867604239,-0.13252175300484278,7.125332704465226,0.5873015873015873,0.9138759619182684,731,10712.533270446522,63,29,2023-04-14,2024-01-12,2024-01-16,2024-04-15,11340,3780,A
window_30,-0.048118830174051386,0.030070340611337964,0.020921820451475198,-0.08617669595336615,-0.6845575658357248,0.5111111111111111,0.5648883844116535,0.6814240073026016,0.6177079023582954,0.5648883844116535,2643,5.788650826413033,-0.04257423556473661,30.506203964529277,0.5873015873015873,1.9380750743822046,983,13050.620396452927,63,30,2023-07-17,2024-04-15,2024-04-16,2024-07-16,11340,3780,A
window_31,-0.06010577609466505,0.030594671888596468,0.021744130554816957,0.04325162516892931,0.3896126987006354,0.5253968253968254,0.5850844664194479,0.6434073402809243,0.612861458782909,0.5850844664194479,2427,1.6351934439323594,-0.2441659513336637,21.612249658806903,0.6451612903225806,0.7885288847711892,887,12161.22496588069,63,31,2023-10-13,2024-07-16,2024-07-17,2024-10-14,11340,3780,A
window_0,-2.3977765778671056e-05,0.027944919880393625,0.018035725764858346,0.06993216712138937,0.45961462609322085,0.5525961797148238,0.5744598765432098,0.7266959492435334,0.6416720534367594,0.5744598765432098,2592,5.004660099172988,-0.08673738177139445,23.514902927678307,0.6507936507936508,1.1546109621373077,531,12351.49029276783,63,0,2016-01-04,2016-09-30,2016-10-03,2016-12-30,11151,3717,B
window_1,-0.04198439578114588,0.019780625839284728,0.013285019883381814,0.0026287321122291374,-0.1340611157332856,0.5329566854990584,0.5881886642885454,0.6804218248509858,0.6309523809523809,0.5881886642885454,2523,6.439747296087599,-0.04449424133275157,40.70772878740749,0.6984126984126984,1.5110122642744215,758,14070.772878740749,63,1,2016-04-05,2016-12-30,2017-01-03,2017-04-03,11151,3717,B
window_2,-0.0028391778171006354,0.022869052108029028,0.014222090512577097,0.07227928348023363,0.47946877089877843,0.5698143664245359,0.5791601866251944,0.8833017077798861,0.6996054856284051,0.5791601866251944,3215,4.655865619049991,-0.03782224099241843,15.729185186137396,0.7301587301587301,0.7806355644954532,430,11572.91851861374,63,2,2016-07-05,2017-04-03,2017-04-04,2017-07-03,11151,3717,B
window_3,-0.04328902329113027,0.020574964039292834,0.014274991792696276,0.005245120005078329,0.017932202535975588,0.5824589722894807,0.6033755274261603,0.8945487042001787,0.720662347012239,0.6033755274261603,3318,6.659367974984829,-0.06233409986737638,23.52120344917459,0.746031746031746,0.9067328936856595,374,12352.120344917459,63,3,2016-10-03,2017-07-03,2017-07-05,2017-10-02,11151,3717,B
