feature,importance,method
feat_41,0.00029502934,gradient_saliency
feat_46,0.00019867686,gradient_saliency
feat_36,0.00015627769,gradient_saliency
feat_42,0.00012709477,gradient_saliency
feat_27,0.00011424066,gradient_saliency
feat_35,0.00011009993,gradient_saliency
feat_47,0.00010655938,gradient_saliency
feat_38,0.00010022298,gradient_saliency
feat_33,8.950211e-05,gradient_saliency
feat_48,8.8344466e-05,gradient_saliency
feat_39,8.592957e-05,gradient_saliency
feat_40,8.467434e-05,gradient_saliency
feat_32,8.151929e-05,gradient_saliency
feat_43,7.6570606e-05,gradient_saliency
feat_28,7.4501666e-05,gradient_saliency
feat_30,6.741423e-05,gradient_saliency
iv_10dp_3m,6.360151e-05,gradient_saliency
feat_29,6.345143e-05,gradient_saliency
iv_25dp_3m,6.1868384e-05,gradient_saliency
iv_atm_1m,6.1137616e-05,gradient_saliency
feat_31,5.7081663e-05,gradient_saliency
iv_10dp_1m,5.2964246e-05,gradient_saliency
feat_37,5.2430416e-05,gradient_saliency
iv_atm_3m,4.9948423e-05,gradient_saliency
iv_25dp_6m,4.988361e-05,gradient_saliency
feat_45,4.931881e-05,gradient_saliency
feat_44,4.6711164e-05,gradient_saliency
iv_10dp_6m,4.2972115e-05,gradient_saliency
iv_25dc_3m,4.2760945e-05,gradient_saliency
iv_10dc_1m,3.9912364e-05,gradient_saliency
iv_10dp_2m,3.8609014e-05,gradient_saliency
iv_atm_6m,3.4445893e-05,gradient_saliency
svi_rho,3.221204e-05,gradient_saliency
iv_25dc_1m,3.059207e-05,gradient_saliency
iv_25dc_2m,3.0513222e-05,gradient_saliency
iv_10dc_2m,2.9815177e-05,gradient_saliency
iv_10dc_3m,2.671803e-05,gradient_saliency
iv_25dp_2m,2.5682457e-05,gradient_saliency
iv_25dc_6m,2.5342146e-05,gradient_saliency
iv_25dp_1m,2.4161156e-05,gradient_saliency
iv_10dc_6m,2.064218e-05,gradient_saliency
iv_atm_2m,1.9381778e-05,gradient_saliency
svi_sigma,5.866793e-06,gradient_saliency
svi_b,5.7207594e-06,gradient_saliency
d_svi_sigma,3.9515244e-06,gradient_saliency
term_slope_atm,3.0671313e-06,gradient_saliency
svi_m,2.3486598e-06,gradient_saliency
bf_25d_1m,2.1813341e-06,gradient_saliency
wing_spread_1m,2.0638029e-06,gradient_saliency
d_svi_b,1.7711067e-06,gradient_saliency
d_svi_m,1.6336056e-06,gradient_saliency
rr_25d_1m,1.1847549e-06,gradient_saliency
svi_a,6.579848e-07,gradient_saliency
d_svi_a,4.2135883e-07,gradient_saliency
d_svi_rho,2.8889932e-07,gradient_saliency
