model,feature_set,scheme,horizon,n_windows,mean_ic,nw_se,nw_tstat,survives_5pct,survives_hlz_t3
ElasticNet,C,expanding,5,27,0.5885849826246774,0.009948099454014864,59.16557080529947,True,True
ElasticNet,D,rolling_9m_3m,5,32,0.5576332291199699,0.009931843743155517,56.145992983856615,True,True
ElasticNet,repr_grid_raw,expanding,5,27,0.5840779688135199,0.010409265342275067,56.11135364581482,True,True
ElasticNet,D,rolling_9m_3m,3,32,0.4744147118881672,0.008540470271574334,55.549015077914966,True,True
ElasticNet,repr_grid,expanding,5,27,0.5710824112205637,0.010573112224195172,54.012706865412525,True,True
ElasticNet,D,expanding,5,27,0.5817477117608794,0.011475370014834898,50.69533365885538,True,True
ElasticNet,repr_bkm,expanding,5,27,0.5300273604892821,0.01060989663204981,49.95594008788019,True,True
ElasticNet,repr_svi,rolling_9m_3m,5,32,0.5358288317248677,0.010844260920369475,49.41128175165777,True,True
ElasticNet,C,expanding,3,27,0.49941422911092176,0.010130873630603105,49.29626479618727,True,True
ElasticNet,A,expanding,5,27,0.5236512671223102,0.010805739287775066,48.4604757875971,True,True
ElasticNet,A,rolling_9m_3m,5,32,0.49609648313899046,0.0103180543035478,48.080429560097464,True,True
ElasticNet,repr_svi,rolling_9m_3m,3,32,0.4573569382726934,0.009637462037567292,47.45615977421171,True,True
ElasticNet,repr_bkm,rolling_9m_3m,5,32,0.5015222140320004,0.010589817572513488,47.35890968827751,True,True
ElasticNet,repr_grid_raw,expanding,3,27,0.4949016223651017,0.010564128400935867,46.84736909495144,True,True
ElasticNet,repr_grid,rolling_9m_3m,3,32,0.46318597643668136,0.009915110905908343,46.71515839128659,True,True
ElasticNet,repr_grid,expanding,3,27,0.48392372060785455,0.010363113188462223,46.69675143050944,True,True
ElasticNet,repr_svi,expanding,5,27,0.5626832087950446,0.012166753929840582,46.24760326704638,True,True
ElasticNet,repr_bkm,rolling_9m_3m,3,32,0.42827755659149336,0.009269255646563054,46.2040937181719,True,True
ElasticNet,D,rolling_9m_3m,1,32,0.2800184677743516,0.006094696480347754,45.944612447439575,True,True
ElasticNet,repr_grid_raw,rolling_9m_3m,3,32,0.4691433396632618,0.010373926724750739,45.22331341939705,True,True
ElasticNet,repr_grid,rolling_9m_3m,5,32,0.5442470905561327,0.012073534132020414,45.07769511436807,True,True
ElasticNet,A,rolling_9m_3m,3,32,0.4235484928754343,0.00945997562065077,44.77268334083694,True,True
ElasticNet,repr_grid_raw,rolling_9m_3m,5,32,0.5509105266868028,0.012456892731104145,44.22535688303801,True,True
ElasticNet,D,expanding,3,27,0.49329539086265217,0.011353246994582528,43.44971893045574,True,True
ElasticNet,repr_grid,rolling_9m_3m,1,32,0.2745191752760604,0.006365651786705225,43.12506943113013,True,True
XGBoost,D,rolling_9m_3m,3,32,0.47583589644703655,0.011063406641214616,43.00988943806878,True,True
ElasticNet,repr_bkm,expanding,3,27,0.45007630887708666,0.010477560016506744,42.95621386735265,True,True
XGBoost,B,expanding,5,27,0.5296938718211882,0.012412045990624088,42.6757902944698,True,True
ElasticNet,C,rolling_9m_3m,3,32,0.4722847220964249,0.011112104014363765,42.5018269704764,True,True
ElasticNet,repr_grid_raw,rolling_9m_3m,1,32,0.278168281786472,0.006679587809809488,41.644528031798686,True,True
ElasticNet,B,expanding,5,27,0.5321773495512743,0.012871986606450777,41.34383959695657,True,True
ElasticNet,A,expanding,3,27,0.4450364864482098,0.010766065841799382,41.33696495895002,True,True
XGBoost,repr_grid,rolling_9m_3m,3,32,0.47534727238679847,0.011572357739935733,41.07609556057833,True,True
XGBoost,repr_grid_raw,rolling_9m_3m,3,32,0.4751462473959719,0.011590782575123136,40.99345702642724,True,True
XGBoost,D,rolling_9m_3m,5,32,0.5531308822350418,0.013532119505949163,40.875406250430125,True,True
XGBoost,repr_grid,rolling_9m_3m,5,32,0.5501683904888753,0.013625430978991677,40.37805419418663,True,True
ElasticNet,repr_svi,expanding,3,27,0.4782479164113563,0.011849621666976132,40.35976251834198,True,True
ElasticNet,C,rolling_9m_3m,1,32,0.28126590622789516,0.006986082679261785,40.26088999244657,True,True
ElasticNet,C,rolling_9m_3m,5,32,0.5543051343825034,0.01380742716999393,40.145432422566756,True,True
XGBoost,repr_grid_raw,rolling_9m_3m,5,32,0.5528740887464446,0.01390945247625275,39.74808423914258,True,True
XGBoost,D,rolling_9m_3m,1,32,0.2837904767877315,0.007184423948533016,39.5007976729545,True,True
ElasticNet,B,rolling_9m_3m,3,32,0.45659483800769035,0.01170275531141187,39.01601168764459,True,True
ElasticNet,repr_bkm,rolling_9m_3m,1,32,0.2539210812638729,0.0066292379572162425,38.30320813683686,True,True
XGBoost,repr_grid,rolling_9m_3m,1,32,0.28349020409942804,0.007418915522637696,38.21181185233888,True,True
ElasticNet,repr_svi,rolling_9m_3m,1,32,0.2713349509558511,0.007106572288972081,38.180847238676,True,True
ElasticNet,B,rolling_9m_3m,5,32,0.5385320121056976,0.01412279125546843,38.132122918489976,True,True
XGBoost,D,expanding,5,27,0.5756485524732559,0.015242130543879608,37.7669349318363,True,True
XGBoost,repr_grid,expanding,5,27,0.5757516182303432,0.015248174391040816,37.75872464894096,True,True
XGBoost,B,expanding,3,27,0.45470632402526223,0.012066927095571634,37.68203125981693,True,True
ElasticNet,B,expanding,3,27,0.4486430983108863,0.012057041946969277,37.210047064956896,True,True
XGBoost,repr_grid_raw,expanding,5,27,0.5739990839959866,0.015727622653929667,36.49623955420679,True,True
ElasticNet,B,rolling_9m_3m,1,32,0.2684400695336345,0.007440096954844944,36.080184325935164,True,True
XGBoost,C,rolling_9m_3m,3,32,0.4695813137206997,0.013157007538216412,35.690586355349694,True,True
ElasticNet,candidate_6,rolling_9m_3m,5,32,0.51853458806178,0.014581937472320563,35.56006114043915,True,True
OLS,candidate_6,rolling_9m_3m,5,32,0.5178273441717272,0.014622620263577048,35.41276015089884,True,True
XGBoost,repr_grid_raw,rolling_9m_3m,1,32,0.2805519715387043,0.007943915692351691,35.31658471763698,True,True
XGBoost,C,rolling_9m_3m,5,32,0.5461230248220243,0.01548472338089257,35.26850376261257,True,True
ElasticNet,A,rolling_9m_3m,1,32,0.2506683657075399,0.00711554045876476,35.228296031789455,True,True
XGBoost,D,expanding,3,27,0.49592401119353396,0.014087809979698922,35.20234954248954,True,True
ElasticNet,C,expanding,1,27,0.29466001447478896,0.008398802793445804,35.083573423671,True,True
XGBoost,repr_grid,expanding,3,27,0.4960837658061133,0.014267130604223221,34.77109585435962,True,True
XGBoost,B,expanding,1,27,0.27157101989297144,0.00785383819579999,34.57812767752205,True,True
ElasticNet,repr_grid,expanding,1,27,0.28670307935896383,0.008352824883740046,34.32408596486584,True,True
XGBoost,C,expanding,5,27,0.5712832482686859,0.01670019443259422,34.20817946608436,True,True
XGBoost,D,expanding,1,27,0.2959975952462045,0.008670837912509777,34.1371385594876,True,True
XGBoost,repr_grid_raw,expanding,3,27,0.49500972863144094,0.014514263321389114,34.10505360626633,True,True
ElasticNet,B,expanding,1,27,0.2604996706431537,0.007681040206559871,33.91463442941987,True,True
XGBoost,repr_svi,rolling_9m_3m,3,32,0.45434207057242454,0.013405504930395686,33.89220122117503,True,True
ElasticNet,candidate_6,rolling_9m_3m,3,32,0.4436512923043221,0.013091025120737409,33.88972889537405,True,True
OLS,candidate_6,rolling_9m_3m,3,32,0.44294663978579313,0.01315335053529532,33.675574797250555,True,True
ElasticNet,repr_grid_raw,expanding,1,27,0.29227823098517003,0.008794903724789534,33.232681122062466,True,True
XGBoost,repr_grid,expanding,1,27,0.2956095537200802,0.00891279984977831,33.16685651001497,True,True
XGBoost,repr_svi,rolling_9m_3m,5,32,0.5270839497496482,0.01597806326242428,32.98797489362776,True,True
XGBoost,B,rolling_9m_3m,5,32,0.5279834618796901,0.016035349194041808,32.926221655083815,True,True
ElasticNet,candidate_6,expanding,5,27,0.5143832732615736,0.015693973457279815,32.77584702572385,True,True
OLS,candidate_6,expanding,5,27,0.513451455646069,0.01570153830973246,32.70071030733407,True,True
ElasticNet,D,expanding,1,27,0.2918387491369733,0.008936824081459207,32.65575628174632,True,True
XGBoost,C,expanding,3,27,0.49166745053440697,0.015113469383552016,32.531739606359906,True,True
XGBoost,C,rolling_9m_3m,1,32,0.27572374350355955,0.008518741246771133,32.36672361753767,True,True
XGBoost,repr_svi,rolling_9m_3m,1,32,0.2704182971472444,0.00839234335177181,32.22202498306425,True,True
XGBoost,B,rolling_9m_3m,3,32,0.45354752610681065,0.014104222412229195,32.15686145969721,True,True
ElasticNet,repr_bkm,expanding,1,27,0.2665422482953553,0.00830894821447877,32.07893964616264,True,True
ElasticNet,candidate_6,rolling_9m_3m,1,32,0.26320027540218865,0.008257788538067955,31.872973519344765,True,True
ElasticNet,candidate_6,expanding,3,27,0.438377251039089,0.013852962296344357,31.645018708725704,True,True
OLS,candidate_6,expanding,3,27,0.4372736309110987,0.013850224159361544,31.57159233524317,True,True
OLS,candidate_6,rolling_9m_3m,1,32,0.2624048283682783,0.00833189202848539,31.49402650336306,True,True
OLS,candidate_6,expanding,1,27,0.2557661650714995,0.00815147191222905,31.376684827655787,True,True
ElasticNet,candidate_6,expanding,1,27,0.2573881752124077,0.008230793995859305,31.27136644920197,True,True
XGBoost,repr_grid_raw,expanding,1,27,0.2961111024108911,0.009591615664341436,30.87186901282311,True,True
ElasticNet,A,expanding,1,27,0.2638513120233995,0.008599968146459873,30.680498756499738,True,True
XGBoost,candidate_6,expanding,5,27,0.5078909237425686,0.016595165891422098,30.60475123090473,True,True
ElasticNet,repr_svi,expanding,1,27,0.28286171677824107,0.009397235398746635,30.100524758161107,True,True
XGBoost,C,expanding,1,27,0.29350269535490137,0.00980057032230288,29.947511798061957,True,True
XGBoost,candidate_6,expanding,1,27,0.2582030710953142,0.008718355942563687,29.616027700216605,True,True
XGBoost,candidate_6,expanding,3,27,0.4354622591634606,0.014732779291197191,29.55737342944169,True,True
XGBoost,repr_svi,expanding,5,27,0.5537514188396977,0.019680791405155305,28.136643869648694,True,True
XGBoost,A,rolling_9m_3m,3,32,0.4137805314370266,0.014948379536403272,27.68062788540799,True,True
XGBoost,repr_bkm,rolling_9m_3m,3,32,0.4250910242300338,0.015411057378210113,27.58350798375946,True,True
XGBoost,B,rolling_9m_3m,1,32,0.2679226513053575,0.009777861413263532,27.400945869607455,True,True
XGBoost,repr_bkm,expanding,5,27,0.5164148376755994,0.01890889945006577,27.310676596453273,True,True
XGBoost,repr_svi,expanding,3,27,0.4780268957748363,0.017682284809212096,27.03422668125979,True,True
XGBoost,A,rolling_9m_3m,5,32,0.4785642252092108,0.01780048923650017,26.884891693196145,True,True
XGBoost,repr_bkm,expanding,3,27,0.4486265078199133,0.016787109463189065,26.724464316126955,True,True
XGBoost,A,rolling_9m_3m,1,32,0.2474626938770498,0.009299359245150749,26.610725250354417,True,True
XGBoost,repr_bkm,rolling_9m_3m,1,32,0.2508420791502021,0.009460004172478026,26.51606432478926,True,True
XGBoost,repr_bkm,rolling_9m_3m,5,32,0.4909247858328541,0.018561411431985017,26.448677549752098,True,True
XGBoost,A,expanding,5,27,0.5032054779982574,0.019774790252427045,25.446817466824804,True,True
XGBoost,A,expanding,3,27,0.43515854205357557,0.0173480704124796,25.08397370468001,True,True
XGBoost,repr_bkm,expanding,1,27,0.2659413412650877,0.010737034957572632,24.768601603324782,True,True
XGBoost,A,expanding,1,27,0.2605424256480696,0.0105262185269164,24.751759141408794,True,True
XGBoost,repr_svi,expanding,1,27,0.2857310895796653,0.011564962834276927,24.706615462074677,True,True
XGBoost,candidate_6,rolling_9m_3m,5,32,0.4804931646087398,0.021805057097941706,22.035859041804393,True,True
XGBoost,candidate_6,rolling_9m_3m,3,32,0.4083750542465948,0.020435505401536377,19.983604330915764,True,True
OLS,repr_bkm,rolling_9m_3m,5,32,0.34792471725994933,0.019405535768047103,17.929147714274272,True,True
OLS,repr_bkm,rolling_9m_3m,3,32,0.296204226813088,0.017227130262765327,17.194055091886256,True,True
