model,feature_set,scheme,horizon,n_windows,pooled_ic,pooled_r2
OLS,A,expanding,1,27,0.12901002078190543,0.03197017919339029
OLS,A,rolling_9m_3m,1,32,0.12391705828578657,0.025031550190735552
ElasticNet,A,expanding,1,27,0.2588829892420828,0.10069704049827233
ElasticNet,A,rolling_9m_3m,1,32,0.20986697881719876,0.05661123583692851
XGBoost,A,expanding,1,27,0.2339328061713466,0.09293514239848688
XGBoost,A,rolling_9m_3m,1,32,0.21870457231812324,0.08751133646623666
OLS,B,expanding,1,27,0.03974416973287366,-9.436435501863905e-05
OLS,B,rolling_9m_3m,1,32,0.010600068169915574,2.6115709336194115e-06
ElasticNet,B,expanding,1,27,0.21702312460147455,0.07731520145132298
ElasticNet,B,rolling_9m_3m,1,32,0.2150589889545862,0.08303471025409959
XGBoost,B,expanding,1,27,0.23566853183843067,0.1325799405087873
XGBoost,B,rolling_9m_3m,1,32,0.22814896562113296,0.1218669893315979
OLS,C,expanding,1,27,0.03974416701903952,-9.436437314236379e-05
OLS,C,rolling_9m_3m,1,32,0.010600071520741272,2.611541227937053e-06
ElasticNet,C,expanding,1,27,0.2899113629043948,0.13518666955722647
ElasticNet,C,rolling_9m_3m,1,32,0.25279938828609205,0.11107469759655986
XGBoost,C,expanding,1,27,0.2714639819682709,0.14616955045561364
XGBoost,C,rolling_9m_3m,1,32,0.24417394630529868,0.1268988978988489
OLS,candidate_6,expanding,1,27,0.20012487456744676,0.05821403746718001
OLS,candidate_6,rolling_9m_3m,1,32,0.19945704708876277,0.06207815754459989
ElasticNet,candidate_6,expanding,1,27,0.20096520015373026,0.05990565604888509
ElasticNet,candidate_6,rolling_9m_3m,1,32,0.1999834587945038,0.06565103939508621
XGBoost,candidate_6,expanding,1,27,0.2133061613911828,0.0732108813096205
XGBoost,candidate_6,rolling_9m_3m,1,32,0.19056516973861554,0.06819996657522098
OLS,D,expanding,1,27,0.12886151266795084,0.03198723813955062
OLS,D,rolling_9m_3m,1,32,0.1604230689085263,0.0417104072272374
ElasticNet,D,expanding,1,27,0.28974228232084315,0.12957223505990534
ElasticNet,D,rolling_9m_3m,1,32,0.24978720357219164,0.10151077423426191
XGBoost,D,expanding,1,27,0.262394439691646,0.13218263270221287
XGBoost,D,rolling_9m_3m,1,32,0.25056936564859184,0.1263432476102675
OLS,repr_svi,expanding,1,27,0.12900622945079906,0.03197177694336306
OLS,repr_svi,rolling_9m_3m,1,32,0.12391515942419044,0.02503387233951604
ElasticNet,repr_svi,expanding,1,27,0.2811763269973429,0.12384493196879764
ElasticNet,repr_svi,rolling_9m_3m,1,32,0.24003573921951413,0.09299082016186533
XGBoost,repr_svi,expanding,1,27,0.2579368225266777,0.12445951125759092
XGBoost,repr_svi,rolling_9m_3m,1,32,0.23653694025313138,0.1142835689479289
OLS,repr_grid,expanding,1,27,0.12886571567678667,0.03198563613146177
OLS,repr_grid,rolling_9m_3m,1,32,0.160382766983842,0.04170339348091401
