model,feature_set,scheme,horizon,window,ic,n_test
OLS,A,expanding,1,0,0.09260235060549789,3717
OLS,A,expanding,1,1,0.1308990844533758,3717
OLS,A,expanding,1,2,0.13539097877661974,3717
OLS,A,expanding,1,3,0.19245981338099927,3717
OLS,A,expanding,1,4,0.12441686126873443,3717
OLS,A,expanding,1,5,0.1741427922630265,3717
OLS,A,expanding,1,6,0.12035616493635042,3717
OLS,A,expanding,1,7,0.10413848537595322,3717
OLS,A,expanding,1,8,0.12138643616106848,3717
OLS,A,expanding,1,9,0.060059043957559316,3717
OLS,A,expanding,1,10,0.19072913986775142,3717
OLS,A,expanding,1,11,0.09223431278501219,3717
OLS,A,expanding,1,12,0.05093374460994395,3717
OLS,A,expanding,1,13,0.11356152354675646,3726
OLS,A,expanding,1,14,0.05032543801828332,3780
OLS,A,expanding,1,15,0.11889979919376524,3780
OLS,A,expanding,1,16,0.19412491055435988,3730
OLS,A,expanding,1,17,0.22752794846873658,3740
OLS,A,expanding,1,18,0.15354469848151625,3780
OLS,A,expanding,1,19,0.209781766548663,3780
OLS,A,expanding,1,20,0.1746533340946991,3780
OLS,A,expanding,1,21,0.11838208359902423,3780
OLS,A,expanding,1,22,0.13260331213334095,3780
OLS,A,expanding,1,23,0.07962441331281155,3780
OLS,A,expanding,1,24,0.09114019950219542,3780
OLS,A,expanding,1,25,0.07642194715156556,3780
OLS,A,expanding,1,26,0.12272280382822355,3780
OLS,A,rolling_9m_3m,1,0,0.10431858583198637,3717
OLS,A,rolling_9m_3m,1,1,0.08202176727916427,3717
OLS,A,rolling_9m_3m,1,2,0.12406414524144263,3717
OLS,A,rolling_9m_3m,1,3,0.13632428402894112,3717
OLS,A,rolling_9m_3m,1,4,0.1386556449609811,3717
OLS,A,rolling_9m_3m,1,5,0.09971088773561698,3717
OLS,A,rolling_9m_3m,1,6,0.12783673717148897,3717
OLS,A,rolling_9m_3m,1,7,0.13462055620852173,3717
OLS,A,rolling_9m_3m,1,8,0.19164362040147595,3717
OLS,A,rolling_9m_3m,1,9,0.14019511930505107,3717
OLS,A,rolling_9m_3m,1,10,0.17583146145231232,3717
OLS,A,rolling_9m_3m,1,11,0.12220032667701504,3717
OLS,A,rolling_9m_3m,1,12,0.11303639007017026,3717
OLS,A,rolling_9m_3m,1,13,0.10427676634363402,3717
